story_id,module,role,title,user_story,acceptance_criteria,priority,source
PDA-01,Policy Distribution and Acknowledgment,Company Admin,Target policy distribution by audience criteria,"As a Company Admin, I want to distribute policies based on company, location, department, group, employment type, or individual employees using AND/OR logic, so that the right policies reach exactly the right audience.","Given a policy to distribute, when I define the audience, then I can select company, location, department, group, employment type, and/or individual employees as scope criteria.; Given multiple criteria, when I combine them, then the system supports both AND and OR logic to build the target audience.; Given a defined scope, when I preview the distribution, then the resulting de-duplicated list of recipients is shown before sending; Given an employee matches more than one criterion, when the audience is resolved, then the employee receives the policy only once.; Given an empty or zero-match audience, when I attempt to distribute, then the system warns me that no recipients match before proceeding.",High,FR 6.11.1 (Distribution Scope)
PDA-02,Policy Distribution and Acknowledgment,Company Admin,Multiple distribution methods,"As a Company Admin, I want to distribute policies manually, on a schedule, or automatically on events, so that I can match the distribution method to each situation.","Given a policy, when I choose manual distribution, then it is sent immediately to the selected audience.; Given a policy, when I choose scheduled distribution, then it is queued and sent at the configured future date/time.; Given a scheduled distribution, when the scheduled time has not yet arrived, then I can still edit or cancel it.; Given an event trigger (e.g. onboarding, transfer, role change), when the event occurs, then the policy is distributed automatically to the affected employee(s) without manual action.; Given any distribution method, when the policy is delivered, then each recipient's assignment is timestamped and recorded for tracking.",High,FR 6.11.2 (Distribution Methods)
PDA-03,Policy Distribution and Acknowledgment,Company Admin,Bulk policy distribution,"As a Company Admin, I want to distribute policies in bulk, so that I can efficiently reach large groups of employees at once.","Given a large target audience, when I run a bulk distribution, then the policy is delivered to all matching employees in a single operation.; Given a bulk distribution, when it completes, then I can view a summary of successful and failed deliveries.; Given failed deliveries in a bulk run, when I review the summary, then I can identify and retry the failed recipients without resending to those already delivered.",Medium,FR 6.11.2 (Distribution Methods — bulk)
PDA-04,Policy Distribution and Acknowledgment,Company Admin,Configure acknowledgment types,"As a Company Admin, I want to set an acknowledgment type of Required, Optional, or Read-Only for each policy, so that I can control the level of compliance enforcement.","Given a policy set to Required, when it is distributed, then acknowledgment is mandatory and enforced for each recipient with due-date and escalation tracking.; Given a policy set to Optional, when it is distributed, then acknowledgment is recommended but not enforced and no overdue status is raised.; Given a policy set to Read-Only, when it is distributed, then it is presented as information only with no acknowledgment action required.; Given a policy, when I configure it, then exactly one acknowledgment type applies and the type is visible to recipients.",High,FR 6.11.3 (Acknowledgment Types)
PDA-05,Policy Distribution and Acknowledgment,Company Admin,Configure acknowledgment due dates,"As a Company Admin, I want to configure acknowledgment due dates using fixed, relative, hire-based, or periodic renewal rules, so that deadlines fit each policy's compliance needs.","Given a policy, when I set a fixed due date, then all recipients share that exact deadline.; Given a policy, when I set a relative due date, then the deadline is calculated as a configured number of days from the distribution date per recipient.; Given a policy, when I set a hire-based due date, then the deadline is derived from each employee's hire date.; Given a policy, when I set periodic renewal, then a new acknowledgment cycle and due date recur automatically on the configured period.; Given any due-date rule, when the deadline is computed, then the resulting due date is shown to both admin and recipient.",High,FR 6.11.4 (Due Date Configuration)
PDA-06,Policy Distribution and Acknowledgment,Employee (User),Automated reminders at SLA milestones,"As an Employee (User), I want to receive automated reminders as my acknowledgment deadline approaches, so that I do not miss a required sign-off.","Given a pending acknowledgment with an SLA, when 50%, 75%, and 100% of the SLA have elapsed, then automated reminders are sent to the employee at each milestone.; Given an acknowledgment is completed, when a later reminder milestone is reached, then no further reminders are sent for that policy.; Given a Read-Only or Optional policy, when milestones elapse, then no enforcement reminders are sent.; Given a reminder is sent, when the employee opens it, then it links directly to the pending policy in their inbox.",Medium,FR 6.11.5 (Reminders and Escalations)
PDA-07,Policy Distribution and Acknowledgment,Company Admin,Escalation for overdue acknowledgments,"As a Company Admin, I want overdue acknowledgments to trigger escalation workflows based on policy criticality, so that non-compliance is surfaced and acted upon.","Given an acknowledgment is overdue (100% of SLA passed without sign-off), when the escalation workflow runs, then the appropriate escalation path is followed based on the policy's criticality.; Given a critical policy, when it becomes overdue, then escalation is routed with higher urgency (e.g. to management) than for a non-critical policy.; Given an escalation is raised, when the employee subsequently acknowledges, then the escalation is closed automatically.; Given escalation configuration, when I set it up, then it uses the workflow engine to determine approvers/notified parties.",Medium,FR 6.11.5 (Reminders and Escalations — escalation)
PDA-08,Policy Distribution and Acknowledgment,Company Admin,Trigger re-acknowledgment,"As a Company Admin, I want the system to require re-acknowledgment when relevant changes occur, so that employees always confirm the current version of the policy.","Given a policy's content changes, when the new version is published, then affected employees are required to re-acknowledge the updated policy.; Given a periodic renewal expires, when the renewal date passes, then re-acknowledgment is required for the recurring cycle.; Given an employee transfers, when the transfer is recorded, then re-acknowledgment is triggered for the policies relevant to their new placement.; Given an employee changes role, when the change is recorded, then re-acknowledgment is triggered for role-relevant policies.; Given a regulatory update, when it is applied to a policy, then affected employees are required to re-acknowledge.; Given re-acknowledgment is triggered, when it recurs, then the prior acknowledgment record is preserved in the audit trail and a new pending item is created.",High,FR 6.11.6 (Re-Acknowledgment)
PDA-09,Policy Distribution and Acknowledgment,Employee (User),Employee policy inbox and review,"As an Employee (User), I want a policy inbox showing my pending acknowledgments with a review interface, so that I can read and act on policies assigned to me.","Given policies assigned to me, when I open my policy inbox, then I see all pending acknowledgments with their acknowledgment type and due date.; Given a pending policy, when I open it, then I can review its full content in the policy review interface before acknowledging.; Given a Read-Only policy, when I open it, then it is shown for information with no acknowledgment button.; Given items in my inbox, when I view them, then required and overdue items are clearly distinguished from optional ones.",High,FR 6.11.7 (Employee Self-Service)
PDA-10,Policy Distribution and Acknowledgment,Employee (User),Acknowledgment confirmation with receipt,"As an Employee (User), I want to confirm my acknowledgment and receive a receipt, so that I have proof I completed the required sign-off.","Given a policy I have reviewed, when I confirm acknowledgment, then the confirmation is recorded with timestamp and a receipt is generated for me.; Given I have acknowledged a policy, when I revisit my inbox, then the policy no longer appears as pending.; Given I have acknowledged a policy, when I want proof later, then I can retrieve or download the acknowledgment receipt.; Given a required policy, when I have not confirmed, then I cannot mark it complete without an explicit confirmation action.",High,FR 6.11.7 (Employee Self-Service — confirmation with receipt)
