story_id,module,role,title,user_story,acceptance_criteria,priority,source
POL-01,Policy Management,Company Admin,Create and maintain HR and business policies,"As a Company Admin, I want to create and maintain HR and business policies, so that the organization has a documented, authoritative set of policies to govern operations.","Given I have policy management rights, when I create a new policy with its title, content/body, and attributes, then the policy is saved and available for assignment.; Given a new policy, when I define both HR policies and business policies, then the system supports and stores each policy type distinctly.; Given an existing policy, when I edit its details (content or attributes), then the updated policy is retained and its prior state is preserved as a version; Given a policy I am maintaining, when I deactivate or retire it, then it is no longer applied to the population while its history remains available; Given I attempt to save a policy with missing mandatory fields, when I submit, then the system blocks the save and prompts for the required information.",High,FR 6.10.1 (creation and maintenance of HR and business policies)
POL-02,Policy Management,Company Admin,Assign policies by organizational scope,"As a Company Admin, I want to assign policies based on company, jurisdiction, location, department, group, and employment type, so that each policy applies only to the intended population.","Given I am configuring a policy, when I select one or more scoping attributes (company, jurisdiction, location, department, group, employment type), then the policy applies only to entities matching those attributes.; Given I combine multiple scoping attributes, when the policy is evaluated, then only entities matching all selected attributes inherit the policy.; Given a policy scoped to a specific department, when a user outside that department is evaluated, then the policy does not apply to them.; Given a policy scoped to an employment type, when a worker of a different employment type is evaluated, then the policy does not apply; Given overlapping policies apply to the same population, when applicability is resolved, then the system deterministically selects the applicable policy per its scope and effective dating.",High,"FR 6.10.1 (assignable by company, jurisdiction, location, department, group, employment type)"
POL-03,Policy Management,Company Admin,Assign policies by jurisdiction,"As a Company Admin, I want to assign policies by jurisdiction, so that legal and regulatory requirements specific to each jurisdiction are correctly enforced.","Given entities operating in different jurisdictions, when I assign a policy to a jurisdiction, then only entities in that jurisdiction inherit the policy.; Given a jurisdiction-scoped policy, when I review applicability, then the system reflects the correct jurisdiction mapping.; Given an employee whose jurisdiction changes, when applicability is re-evaluated, then the jurisdiction-appropriate policy is applied.",Medium,FR 6.10.1 (jurisdiction-based assignment)
POL-04,Policy Management,Company Admin,Version policies,"As a Company Admin, I want policies to support versioning, so that I can update policy content over time while preserving a history of prior versions.","Given an existing policy, when I make changes and save, then a new version is created while previous versions are retained.; Given multiple versions of a policy, when I review the policy, then I can identify the current version and all historical versions with their change details.; Given a superseded version, when I open it, then I can view its content read-only for audit and reference; Given a new version is created, when it is not yet in force, then the prior version remains the applicable one until the new version's effective date.",High,FR 6.10.2 (versioning)
POL-05,Policy Management,Company Admin,Apply effective dating to policies,"As a Company Admin, I want to set effective dates on policy versions, so that a policy takes effect at the correct time and superseded versions are applied only for their valid periods.","Given a policy version with an effective date, when the current date is before that date, then the version is not yet in force.; Given a policy version with an effective date, when that date is reached, then the version becomes the applicable one for its scope and supersedes the prior version.; Given a policy with a series of dated versions, when applicability is evaluated for any date, then the version in force on that date is applied; Given I set an effective date, when it conflicts with an existing version's active period, then the system enforces non-overlapping effective periods.",High,FR 6.10.2 (effective dating)
POL-06,Policy Management,Company Admin,Differentiate applicability for employees and contractors,"As a Company Admin, I want policies to have different applicability for employees and contractors, so that each worker type is governed by the rules appropriate to their engagement.","Given a policy, when I configure applicability, then I can specify whether it applies to employees, contractors, or both.; Given a contractor-only policy, when an employee is evaluated, then the policy does not apply to that employee.; Given an employee-only policy, when a contractor is evaluated, then the policy does not apply to that contractor; Given a policy applying to both, when either worker type is evaluated, then the policy applies to both.",Medium,FR 6.10.2 (different applicability for employees and contractors)
POL-07,Policy Management,Company Admin,Integrate policies with operational modules,"As a Company Admin, I want policies to integrate with the leave, attendance, onboarding, probation, performance, exit, and asset management modules, so that policy rules are consistently enforced across HR processes.","Given a policy relevant to a module (e.g. leave or attendance), when a process runs in that module, then the applicable policy is applied automatically.; Given policies linked to onboarding, probation, performance, exit, and asset management, when those processes execute, then they respect the associated policy rules.; Given a policy is updated to a new version, when a downstream module process runs after the effective date, then the module consumes the current in-force policy; Given a policy scope excludes a worker, when a module process runs for that worker, then the module does not apply the excluded policy.",High,"FR 6.10.3 (integration with leave, attendance, onboarding, probation, performance, exit, asset management)"
POL-08,Policy Management,Platform Admin,Role-controlled policy maintenance,"As a Platform Admin, I want policy maintenance to be role controlled, so that only authorized roles can create or modify policies.","Given a user without policy maintenance rights, when they attempt to create or edit a policy, then the action is denied.; Given a user with the appropriate role, when they access policy maintenance, then they can create and modify policies within their scope.; Given role-based permissions are configured, when I define which roles may maintain policies, then the system enforces those permissions consistently across the platform; Given a maintenance action is performed, when it succeeds or is denied, then the event is auditable with the acting user and role.",High,FR 6.10.4 (role-controlled maintenance)
POL-09,Policy Management,Employee (User),Role-controlled policy visibility,"As an Employee (User), I want to see only the policies applicable to my role and scope, so that I view relevant policies without exposure to unrelated or restricted policies.","Given policy visibility is role controlled, when I view policies, then I see only those my role and scope are permitted to see.; Given a policy outside my visibility scope, when I browse policies, then that policy is not shown to me.; Given multiple versions of a policy exist, when I view it, then I see only the version currently in force for my scope.",Medium,FR 6.10.4 (role-controlled visibility)
POL-10,Policy Management,Portfolio Admin,Oversee policies across group companies,"As a Portfolio Admin, I want to view and govern policies across the group companies in my portfolio, so that policy standards are consistent and compliant across the whole portfolio.","Given I administer a portfolio, when I access policy management, then I can view and maintain policies across all group companies within my portfolio scope.; Given a policy is scoped to a specific company, when I review portfolio-wide applicability, then the system reflects which companies inherit it.; Given a company outside my portfolio, when I attempt to access its policies, then access is denied per role control.",Medium,"FR 6.10.1, FR 6.10.4 (company-scoped assignment; role-controlled maintenance)"
POL-11,Policy Management,Group Company Admin,Maintain policies for group companies,"As a Group Company Admin, I want to create and maintain policies applicable to the companies within my group, so that group-level standards are enforced while respecting each company's scope.","Given I administer a group of companies, when I create a policy scoped to the group, then it applies to the companies within that group.; Given I assign a policy at group level, when a company within the group is evaluated, then it inherits the group policy unless a more specific company-level policy overrides it.; Given a policy outside my group scope, when I attempt to maintain it, then the action is denied per role control.",Medium,"FR 6.10.1, FR 6.10.4 (group-based assignment; role-controlled maintenance)"
POL-12,Policy Management,Employee (Non-User),Governance of non-user workers by applicable policies,"As an Employee (Non-User), I want the policies scoped to my company, jurisdiction, location, department, group, and employment type to apply to me even though I have no system login, so that I am governed by the correct rules through HR-managed processes.","Given I am a non-user worker, when policies are evaluated for my company, jurisdiction, location, department, group, and employment type, then the applicable policies are applied to me by the system.; Given a policy differentiates by worker type, when I am classified as an employee or contractor, then the correct applicability is applied to me.; Given I have no login, when a policy applies, then it is surfaced and administered on my behalf by an authorized admin rather than through self-service.",Low,"FR 6.10.1, FR 6.10.2, FR 6.10.4 (scoped applicability; employee/contractor differentiation; role control)"
POL-13,Policy Management,Company Admin,Assign policies by employment type,"As a Company Admin, I want to assign policies specifically by employment type, so that full-time, part-time, contractor, and other engagement types receive the rules appropriate to them.","Given multiple employment types exist, when I scope a policy to one or more employment types, then only workers of those types inherit the policy.; Given a worker's employment type changes, when applicability is re-evaluated, then the policies matching the new employment type are applied and those no longer matching are removed.; Given an employment-type-scoped policy, when I review applicability, then the system reflects the correct employment-type mapping.",Medium,"FR 6.10.1 (employment-type assignment), FR 6.10.2 (employee/contractor differentiation)"
POL-14,Policy Management,Platform Admin,Persist policies as effective-dated tenant-scoped records,"As a Platform Admin, I want policies and their versions persisted as effective-dated, tenant-scoped records with full history, so that every policy state is auditable and isolated per tenant.","Given a policy version is created or superseded, when it is stored, then the system retains both the effective (business) period and the record's change history without overwriting prior states.; Given a query for any past date, when applicability is reconstructed, then the record in force on that date is returned from history.; Given multiple tenants, when policies are stored, then each policy is scoped to its owning tenant and row-level security prevents cross-tenant access; Given a policy is retired, when I inspect history, then all prior versions and their valid periods remain retrievable for audit.",High,"FR 6.10.2 (L1 domain/data: effective-dated bitemporal history), FR 6.10.1"
POL-15,Policy Management,Platform Admin,Enforce policy data integrity and non-overlapping periods,"As a Platform Admin, I want the data model to enforce uniqueness and non-overlapping effective periods for policy versions, so that policy applicability is always deterministic and free of conflicting records.","Given two versions of the same policy, when their effective periods would overlap, then the persistence layer rejects the second as an integrity violation.; Given a policy scoped to an applicability key (company, jurisdiction, location, department, group, employment type), when a duplicate active record for the same key and period is attempted, then the constraint prevents it.; Given a referential link to an organizational scope entity, when that entity is missing or invalid, then the policy record cannot be persisted.",High,"FR 6.10.2 (L1 data integrity: non-overlapping versions), FR 6.10.1"
POL-16,Policy Management,Company Admin,Govern policy applicability as versioned configuration,"As a Company Admin, I want policy applicability rules maintained as governed, versioned configuration that the platform engines read, so that I can change who a policy applies to without code changes.","Given policy scoping and applicability, when I define them, then they are stored as per-tenant configuration (metadata) that engines consume at runtime rather than hard-coded logic.; Given I change the scoping configuration, when I save it, then a new configuration version with its own effective date is created and the prior configuration is preserved.; Given a configuration change, when its effective date is reached, then engines evaluate the new applicability without any deployment or code change; Given governed config, when I review it, then I can see which version is in force and its change lineage.",High,"FR 6.10.1, FR 6.10.2 (L2 config: versioned, effective-dated governed metadata)"
POL-17,Policy Management,Company Admin,Resolve applicable policy via rules engine precedence,"As a Company Admin, I want the shared rules engine to deterministically resolve which policy applies when multiple scoped policies overlap, so that the most specific applicable policy is selected consistently.","Given multiple policies match a worker across company, group, location, department, jurisdiction, and employment type, when the rules engine evaluates applicability, then it selects a single policy using defined scope precedence where a more specific scope overrides a broader scope.; Given a group-level and a company-level policy both apply, when resolution runs, then the company-level policy overrides the group-level one.; Given effective dating, when resolution runs for a given date, then only versions in force on that date are considered; Given the same inputs, when the engine re-evaluates, then it returns the same deterministic result.",High,"FR 6.10.1 (L3 rules engine: deterministic applicability resolution), FR 6.10.2"
POL-18,Policy Management,Employee (User),Notify affected population on policy changes,"As an Employee (User), I want to be notified when a policy applicable to me is published or becomes effective, so that I am aware of the rules that govern me.","Given a policy version becomes effective for my scope, when the notification engine runs, then I receive a notification generated from the platform's notification/template engine.; Given a policy is updated to a new version, when the change takes effect, then affected workers within the policy scope are notified while out-of-scope workers are not.; Given role-controlled visibility, when a notification is sent, then it respects my visibility permissions and does not disclose restricted policies.",Medium,"FR 6.10.2, FR 6.10.4 (L3 notification engine: policy change alerts)"
POL-19,Policy Management,Company Admin,Author policies via metadata-driven authoring screen,"As a Company Admin, I want a metadata-driven policy authoring screen with a dynamic scoping form, so that I can create and scope policies through a guided self-service UI.","Given I open the policy authoring screen, when I enter policy details, then the form renders fields and scoping selectors (company, jurisdiction, location, department, group, employment type) driven by configuration.; Given I select scoping attributes, when I fill the form, then the UI validates required fields and reflects the resulting applicability before I save.; Given effective dating and versioning, when I author a change, then the screen lets me set the effective date and shows the version being created; Given my role permissions, when I access the screen, then only actions permitted to my role are enabled.",Medium,"FR 6.10.1 (L4 presentation: authoring UI), FR 6.10.4"
POL-20,Policy Management,Employee (User),Browse and search applicable policies in a self-service library,"As an Employee (User), I want a self-service policy library where I can browse and search the policies applicable to me, so that I can quickly find the rules relevant to my work.","Given I open the policy library, when it loads, then I see only the in-force policies applicable to my role and scope.; Given many policies, when I search or filter by keyword or category, then the library returns matching policies within my visibility scope.; Given a policy has multiple versions, when I open it, then I see the version currently in force for me in a readable presentation; Given a restricted policy, when I search, then it is never surfaced in my results.",Medium,"FR 6.10.4 (L4 presentation: self-service policy library, search/navigation)"
