story_id,module,role,title,user_story,acceptance_criteria,priority,source
FBG-01,Feedback and Grievance,Employee (User),Submit a feedback or grievance entry,"As an Employee (User), I want to submit a feedback or grievance-related entry, so that my concern is formally captured and routed for role-based review.","Given I am an authenticated Employee (User), when I open the Feedback and Grievance module, then I can create a new feedback or grievance-related entry.; Given I am creating an entry, when I fill in the entry, then I can capture the required details of my feedback or grievance concern.; Given I complete the required details, when I submit the entry, then the entry is recorded in the system and enters the role-based review workflow.; Given required details are missing, when I attempt to submit, then submission is blocked and I am prompted to complete the mandatory fields.; Given I have submitted an entry, when I revisit the module, then I can see the entry I raised along with its current status.",High,FR 6.19.1 (submission of feedback and grievance-related entries with role-based review)
FBG-02,Feedback and Grievance,Company Admin,Role-based review of submitted entries,"As a Company Admin, I want submitted feedback and grievance entries routed to me for review based on my role, so that the right authorized reviewer handles each entry.","Given an entry has been submitted, when I access the module in a review role, then I can view the entries assigned for my review.; Given I hold a reviewer role, when I open an entry, then I can review its details as part of the role-based review workflow.; Given I hold a reviewer role, when I act on an entry, then only the review actions permitted for my role are available to me.; Given a user does not hold a review role, when they attempt to review an entry, then the review actions are not available to them.; Given multiple reviewers exist, when entries are routed, then each entry is directed to reviewers authorized for that entry's scope.",High,FR 6.19.1 (role-based review)
FBG-03,Feedback and Grievance,Company Admin,Restrict access to grievance information,"As a Company Admin, I want access to grievance-related information restricted to authorized personnel, so that sensitive concerns remain confidential.","Given a user is not authorized, when they attempt to view grievance-related information, then access is denied.; Given a user is authorized, when they access grievance-related information, then only the entries within their authorization scope are visible.; Given grievance data exists, when access is granted, then it is limited strictly to authorized personnel.; Given an unauthorized user attempts access, when the attempt occurs, then it is prevented and, where applicable, logged for auditability.",High,FR 6.19.2 (access restricted to authorized personnel)
FBG-04,Feedback and Grievance,Employee (User),Track the status of an entry,"As an Employee (User), I want to track the status of my submitted feedback or grievance entry, so that I know how it is progressing.","Given I have submitted an entry, when I view it, then its current status is displayed.; Given the status of an entry changes, when I revisit the entry, then the updated status is reflected.; Given I have multiple entries, when I open the module, then I can see the status of each of my entries.",Medium,FR 6.19.3 (status tracking)
FBG-05,Feedback and Grievance,Company Admin,Update status during review,"As a Company Admin, I want to update the status of a feedback or grievance entry as I review it, so that its progress is accurately reflected.","Given I am an authorized reviewer, when I review an entry, then I can update its status.; Given I update an entry's status, when the change is saved, then the new status is recorded and visible to the relevant parties, including the submitter.; Given I am not an authorized reviewer, when I attempt to change an entry's status, then the action is not permitted.; Given a status change occurs, when it is saved, then it is captured in the entry's audit trail.",Medium,FR 6.19.3 (status tracking)
FBG-06,Feedback and Grievance,Company Admin,Maintain an audit trail,"As a Company Admin, I want the module to maintain an audit trail of feedback and grievance activity, so that actions on each entry are traceable and accountable.","Given an entry is submitted, reviewed, or updated, when the action occurs, then it is recorded for auditability.; Given an action is recorded, when it is captured, then the audit record identifies the action taken and the associated context needed for accountability.; Given an audit trail exists, when an authorized user inspects an entry, then the recorded history of actions on that entry is available.; Given a user is not authorized, when they attempt to view the audit trail, then access is denied.",Medium,FR 6.19.3 (auditability)
FBG-07,Feedback and Grievance,Platform Admin,Scope module to Phase 1 needs,"As a Platform Admin, I want the module scoped to Phase 1 feedback and grievance tracking needs, so that current requirements are met while broader case-management is deferred to a future phase.","Given the Phase 1 release, when the module is used, then it supports feedback and grievance tracking without full case-management workflows.; Given broader case-management capabilities are planned for a future phase, when Phase 1 scope is defined, then only feedback and grievance tracking features are included.; Given the module is delivered, when Phase 1 capabilities are enabled, then submission, role-based review, access restriction, status tracking, and auditability are supported as the in-scope feature set.",Low,FR 6.19.4 (Phase 1 scope; case-management deferred to future phase)
FBG-08,Feedback and Grievance,Company Admin,Submit an entry on behalf of a non-user employee,"As a Company Admin, I want to submit a feedback or grievance-related entry on behalf of an Employee (Non-User), so that employees without system access can still have their concerns formally captured and reviewed.","Given an Employee (Non-User) has no system access, when they raise a concern to me, then I can create a feedback or grievance-related entry on their behalf.; Given I create an entry on behalf of a non-user employee, when I record it, then the entry captures the concerned employee's identity and required details.; Given the entry is submitted, when it is recorded, then it enters the same role-based review workflow as directly submitted entries; Given the entry exists, when it is inspected, then the audit trail reflects that it was submitted on behalf of the non-user employee.",Medium,FR 6.19.1 (submission of feedback and grievance-related entries; Employee (Non-User) coverage)
FBG-09,Feedback and Grievance,Group Company Admin,Scoped review and oversight across group companies,"As a Group Company Admin, I want role-based review and access to feedback and grievance entries limited to the companies within my group, so that oversight respects organizational and confidentiality boundaries.","Given entries exist across multiple companies, when I access the module, then I can view and review only the entries belonging to companies within my group scope.; Given an entry is outside my group scope, when I attempt to access it, then access is denied.; Given I hold a reviewer role, when I review entries within my scope, then role-based review and status update actions are available to me for those entries.; Given I access grievance information, when it is displayed, then it remains restricted to authorized personnel within my authorization scope.",Medium,"FR 6.19.1, FR 6.19.2 (role-based review; access restricted to authorized personnel)"
FBG-10,Feedback and Grievance,Portfolio Admin,Portfolio-level access and configuration,"As a Portfolio Admin, I want authorized, scope-limited access to feedback and grievance tracking across my portfolio, so that I can oversee the process and ensure the module is available and correctly restricted for each company.","Given the module is provisioned, when I configure it for companies in my portfolio, then feedback and grievance tracking, role-based review, and access restrictions are enabled per company.; Given entries exist across my portfolio, when I access grievance-related information, then only entries within my authorized portfolio scope are visible.; Given a user is unauthorized, when access controls are applied, then grievance information remains restricted to authorized personnel.; Given oversight is required, when I inspect activity, then auditability and status tracking are available within my authorization scope.",Low,"FR 6.19.1, FR 6.19.2, FR 6.19.3 (role-based review; access restriction; auditability and status tracking)"
