story_id,module,role,title,user_story,acceptance_criteria,priority,source
AUTH-01,User Authentication,Employee (User),Log in with email and password,"As an Employee (User), I want to log in using my email address and password, so that I can securely access the application without depending on an external identity provider.","Given I have a valid local (Email/Password) account, when I enter the correct email and password, then I am authenticated and granted access to the application; Given I enter an incorrect email or password, when I submit the login form, then access is denied and I am prompted to try again without disclosing which field was wrong; Given I authenticate successfully or fail to authenticate, when the attempt completes, then the event is recorded in the authentication audit log; Given my password is stored, when it is persisted or verified, then it is handled securely (never stored or logged in plain text).",High,FR 6.1.1 (Email/Password login option); FR 6.1.6
AUTH-02,User Authentication,Employee (User),Log in via enterprise single sign-on,"As an Employee (User), I want to authenticate through my organization's identity provider (SAML, Active Directory, Office 365, or Google Apps), so that I can access the application using my existing corporate credentials.","Given my company has configured SAML, Active Directory, Office 365, or Google Apps, when I choose that provider on the login screen, then I am redirected to the provider and, on successful authentication, signed into the application; Given the identity provider rejects my authentication, when I return to the application, then I am not granted access; Given my federated identity resolves to a distinct User record, when I am signed in via SSO, then my session is bound to that User entity and its assigned roles/permissions; Given an SSO login or failure occurs, when the flow completes, then the authentication event is recorded in the audit log.",High,"FR 6.1.1 (SAML, Active Directory, Office 365, Google Apps authentication); FR 6.1.6"
AUTH-03,User Authentication,Platform Admin,Maintain User as a distinct entity,"As a Platform Admin, I want the system to maintain a `User` entity that is distinct from `Employee` and `Contractor` records, so that authentication and identity are managed independently of workforce data.","Given a person needs application access, when a `User` record is created, then it is stored separately from any `Employee` or `Contractor` record; Given changes are made to an `Employee` or `Contractor` record, when those changes are saved, then the associated `User` entity remains a separate, independently managed record; Given a `User` may or may not correspond to a workforce member, when the User is created, then it does not require an `Employee` or `Contractor` record to exist; Given an `Employee` or `Contractor` record is deleted or deactivated, when that change is applied, then the `User` entity's lifecycle is governed independently.",High,FR 6.1.2 (Distinct User entity separate from Employee and Contractor)
AUTH-04,User Authentication,Portfolio Admin,Belong to multiple companies with per-company roles,"As a Portfolio Admin, I want a single account to belong to multiple companies with different roles and permissions in each, so that one identity can serve all the organizations I work with.","Given my account is linked to more than one company, when an admin assigns roles and permissions, then those roles and permissions can differ per company; Given I am authenticated, when I access a given company, then the permissions applied are exactly those defined for me in that specific company; Given I have no role in a particular company, when I attempt to access it, then access is denied for that company; Given a single `User` entity spans multiple companies, when memberships are managed, then each company membership carries its own independent role/permission set.",High,FR 6.1.3 (Single user across multiple companies with distinct roles/permissions)
AUTH-05,User Authentication,Portfolio Admin,Switch company context within a session,"As a Portfolio Admin, I want to switch my active company context within the same authenticated session, so that I can move between organizations without logging out and back in.","Given I am authenticated and authorized for multiple companies, when I switch to a different company, then my active context updates to that company without requiring re-authentication; Given I switch company context, when the new context loads, then the roles and permissions applied reflect the selected company; Given I switch context, when data is displayed, then only records and actions scoped to the newly selected company are available; Given I am authorized for only one company, when I sign in, then that company is set as my active context without a switch prompt.",High,FR 6.1.4 (Company context switching within a session)
AUTH-06,User Authentication,Company Admin,Support user linked to an employee,"As a Company Admin, I want a user account to be linked to an employee record in a company, so that a workforce member can access the application under their own identity.","Given an employee needs access, when their user account is linked to their employee record, then the linkage is stored and the user can authenticate against it; Given a user is linked to an employee, when they access that company, then their employee context is available to the application; Given a user is linked to an employee in one company, when the same user belongs to other companies, then the employee linkage is scoped to the specific company and does not force a linkage elsewhere; Given a linkage exists, when it is created or removed, then the User and Employee remain distinct records that are merely associated.",Medium,FR 6.1.5 (User linked to an employee in a company)
AUTH-07,User Authentication,Platform Admin,Support user without a workforce record,"As a Platform Admin, I want to create a user who is not linked to any workforce record, so that non-workforce actors (such as administrators) can be granted access without an employee or contractor profile.","Given a user does not correspond to an employee or contractor, when the user account is created, then it is valid and usable without any linked workforce record; Given such a user authenticates, when they access the application, then access is granted based on assigned roles despite the absence of a workforce record; Given the user is later associated with a workforce record, when the linkage is added, then it can be done without recreating the user.",Medium,FR 6.1.5 (User not linked to any workforce record)
AUTH-08,User Authentication,Company Admin,Support employee without a linked user account,"As a Company Admin, I want an employee to exist without a linked user account, so that workforce records can be maintained for people who do not require application access.","Given an employee does not need application access, when the employee record is created, then it can exist with no associated user account; Given an employee has no linked user account, when they are added or updated, then the record remains valid and no login credentials are required; Given a workforce-only employee later needs access, when a user account is created and linked, then the existing employee record is preserved and simply associated with the new user.",Medium,FR 6.1.5 (Employee exists without a linked user account)
AUTH-09,User Authentication,Platform Admin,Secure password management and authentication audit logs,"As a Platform Admin, I want secure password management for local login users and authentication activity captured in audit logs, so that credentials are protected and access can be reviewed for security and compliance.","Given a local login user manages their password, when they set or change it, then the credential is stored and transmitted securely (hashed, never in plain text); Given authentication events occur, when a user logs in, logs out, or fails to log in, then each event is recorded in the authentication audit log with actor, timestamp, and outcome; Given audit logs are captured, when a security or compliance review is performed, then the logs are retained and available for review; Given a local login user, when password rules are applied, then password management follows the system's secure password policy.",High,FR 6.1.6 (Secure password management and authentication audit logs)
AUTH-10,User Authentication,Platform Admin,Configure available authentication methods,"As a Platform Admin, I want to configure which authentication methods (SAML, Active Directory, Office 365, Google Apps, and Email/Password) are available, so that access aligns with each organization's security requirements.","Given the platform supports multiple authentication methods, when I configure them, then I can enable or disable SAML, Active Directory, Office 365, Google Apps, and Email/Password independently; Given an SSO provider is configured, when I supply its connection settings, then those settings are validated and stored securely for use at login; Given an authentication method is disabled, when a user attempts to use it, then that option is not offered on the login screen; Given at least one method must remain usable, when I attempt to disable all methods, then the change is prevented; Given configuration changes are made, when they are saved, then the change is recorded in the audit log.",High,"FR 6.1.1 (SAML, Active Directory, Office 365, Google Apps, Email/Password); FR 6.1.6"
AUTH-11,User Authentication,Employee (User),Reset or recover my password,"As an Employee (User) with a local account, I want to securely reset or recover my password, so that I can regain access if I forget my credentials.","Given I am a local (Email/Password) login user, when I request a password reset, then I receive a secure reset mechanism to set a new password; Given I set a new password via reset, when I submit it, then it is validated against the secure password policy and stored securely; Given I am an SSO-only user, when I attempt a local password reset, then I am informed that authentication is handled by my identity provider; Given a password reset is requested or completed, when the action occurs, then the event is recorded in the authentication audit log.",Medium,FR 6.1.6 (Secure password management)
AUTH-12,User Authentication,Group Company Admin,Manage user access across group companies,"As a Group Company Admin, I want to manage a single user's membership and per-company roles across the companies in my group, so that shared personnel have appropriate, independent access in each company.","Given a user works across several companies in my group, when I assign memberships, then the same `User` entity can be granted distinct roles and permissions in each group company; Given I administer group companies, when I grant or revoke access, then changes in one company do not alter the user's roles in another; Given a user belongs to multiple group companies, when they authenticate, then they can switch context among the companies for which they are authorized; Given membership changes are made, when they are saved, then the change is captured in the audit log.",Medium,FR 6.1.3 (Single user across multiple companies with distinct roles/permissions); FR 6.1.4
AUTH-13,User Authentication,Company Admin,Assign per-company roles and permissions to a user,"As a Company Admin, I want to assign and revoke roles and permissions for users within my company, so that each user has exactly the access appropriate to their responsibilities in my company.","Given a user is a member of my company, when I assign roles and permissions, then they apply only within my company and are independent of other companies' assignments; Given I revoke a user's roles, when the change is saved, then the user loses the associated access in my company at their next context evaluation; Given a user has no role in my company, when they attempt to access it, then access is denied; Given role/permission changes are made, when they are saved, then the change is recorded in the audit log.",Medium,FR 6.1.3 (Distinct roles/permissions per company)
AUTH-14,User Authentication,Company Admin,Link or unlink a user to an employee record,"As a Company Admin, I want to link an existing user to an employee record, or unlink them, so that I can control which workforce members have application access under their own identity.","Given an employee without a user account, when I create and link a user, then the employee gains authenticated access while the User and Employee remain distinct records; Given a user linked to an employee, when I unlink them, then the user account persists and the employee reverts to a workforce-only record with no login; Given a linkage action occurs, when it is saved, then the linkage is scoped to my company and does not affect the user's memberships elsewhere; Given link or unlink actions occur, when they complete, then the events are recorded in the audit log.",Medium,FR 6.1.5 (User-Employee linkage scenarios); FR 6.1.2
AUTH-15,User Authentication,Platform Admin,Review authentication audit logs,"As a Platform Admin, I want to review the authentication audit log, so that I can investigate access issues and demonstrate security and compliance.","Given authentication events are captured, when I open the audit log, then I can view login successes, failures, logouts, password changes, and access-configuration changes with actor, timestamp, company context, and outcome; Given I need to investigate, when I filter or search the audit log, then I can locate events by user, company, method, or time range; Given audit records exist, when I review them, then they are read-only and cannot be altered from the review interface; Given compliance requires retention, when logs age, then they remain available per the system's retention policy.",Medium,FR 6.1.6 (Authentication audit logs)
AUTH-16,User Authentication,Platform Admin,Enforce unique user identity and tenant-scoped data isolation,"As a Platform Admin, I want each User to have a unique login identity while memberships, roles, and audit records are stored under tenant-scoped isolation, so that identities cannot collide and one company's data is never exposed to another.","Given a User is created, when its login identity (email or federated identifier) is persisted, then a uniqueness constraint prevents duplicate User identities; Given a User belongs to multiple companies, when memberships, roles, and audit records are stored, then each row is tenant-scoped so queries return only the active company's data (row-level security); Given the User entity is shared across tenants, when a company's data is accessed, then no other tenant's roles, permissions, or audit entries are visible; Given membership or linkage state changes over time, when records are updated, then prior states are retained with effective-dating rather than overwritten.",High,"FR 6.1.2 (L1 data); FR 6.1.3 (L1 data)"
AUTH-17,User Authentication,Company Admin,Configure the tenant password policy as governed config,"As a Company Admin, I want to configure my company's password policy (complexity, length, expiry, reuse, lockout thresholds) as versioned, effective-dated configuration, so that credential rules match our security requirements without code changes.","Given the password policy is governed configuration, when I set complexity, minimum length, expiry, history/reuse, and lockout rules, then the settings are saved per tenant and read by the authentication logic at login and password change; Given I change the policy, when I save it, then the change is versioned and effective-dated so prior policy versions are retained; Given a new policy takes effect, when a local user next sets or changes a password, then the credential is validated against the current effective policy; Given the policy change is saved, when it is committed, then the configuration change is recorded in the audit log.",Medium,FR 6.1.6 (L2 config)
AUTH-18,User Authentication,Employee (User),Receive password-reset and security notifications via the notification engine,"As an Employee (User), I want password-reset links and security-event alerts delivered through the shared notification/template engine, so that I receive timely, consistently formatted messages when my authentication state changes.","Given I request a password reset, when the request is processed, then the notification/template engine renders the reset message from a configured template and delivers it securely to me; Given a security-relevant authentication event occurs (such as a password change or a login from a new context), when the event fires, then the engine sends me a notification using the applicable template; Given templates are governed configuration, when a tenant customizes the message, then the engine uses the tenant's template without code changes; Given a notification is sent, when delivery completes, then the event is recorded in the authentication audit log.",Medium,FR 6.1.6 (L3 Notification engine)
AUTH-19,User Authentication,Employee (User),Use a metadata-driven login screen and company switcher,"As an Employee (User), I want a login screen that shows only the authentication methods enabled for my organization plus a company switcher once signed in, so that I can sign in and move between my companies through a clear, self-service interface.","Given my organization has enabled specific authentication methods, when the login screen renders, then only the enabled methods (SAML, Active Directory, Office 365, Google Apps, Email/Password) are presented and disabled ones are hidden; Given I am authorized for multiple companies, when I am signed in, then a company switcher control is displayed listing only the companies I may access; Given I select a company from the switcher, when the selection is applied, then the interface reloads scoped to that company without re-authentication; Given I am authorized for a single company, when I sign in, then no switcher is shown and that company loads by default.",Medium,"FR 6.1.1 (L4 presentation); FR 6.1.4"
