story_id,module,title,user_story,acceptance_criteria,priority,source
TA-01,Talent Acquisition,Create job requisitions,"As a Company/HR Admin, I want to create job requisitions with role details, so that open positions are formally captured and can move through the hiring pipeline.","Given I have hiring permissions, when I create a new requisition, then the system saves it with its position details and an initial status.; Given a requisition is saved, when I view the requisition list, then the new requisition appears with its current status.",High,FR 6.13.1 (Job Requisitions — creation)
TA-02,Talent Acquisition,Requisition approval workflow,"As a Manager, I want to review and approve or reject submitted job requisitions, so that only authorized positions proceed to sourcing.","Given a requisition is submitted for approval, when it reaches me as approver, then I can approve or reject it.; Given I act on a requisition, when the decision is recorded, then the requisition status updates to reflect the outcome.",High,FR 6.13.1 (Job Requisitions — approval workflows)
TA-03,Talent Acquisition,Track requisition status,"As a Company/HR Admin, I want to track the status of each job requisition, so that I always know where every open position stands in the pipeline.","Given active requisitions exist, when I open the requisition dashboard, then each requisition shows its current status.; Given a requisition progresses, when its stage changes, then the status is updated accordingly.",Medium,FR 6.13.1 (Job Requisitions — status tracking)
TA-04,Talent Acquisition,Assign requisitions to recruiters and hiring managers,"As a Company/HR Admin, I want to assign requisitions to recruiters and hiring managers, so that ownership of each hiring effort is clearly defined.","Given a requisition, when I assign a recruiter and hiring manager, then the assignment is saved against the requisition.; Given an assignment exists, when the assignee views their workload, then the assigned requisition appears for them.",Medium,FR 6.13.1 (Job Requisitions — assignment to recruiters and hiring managers)
TA-05,Talent Acquisition,Source and manage candidates in the talent pool,"As a Company/HR Admin, I want to source candidates into a talent pool, so that potential applicants are captured and available for open requisitions.","Given I am sourcing candidates, when I add a candidate to the talent pool, then the candidate record is stored and retrievable.; Given candidates exist in the pool, when I search the pool, then I can find matching candidates.",High,FR 6.13.2 (Talent Pool Management — candidate sourcing)
TA-06,Talent Acquisition,Track candidate applications and resumes,"As a Company/HR Admin, I want to track candidate applications, store resumes, and update application status, so that I can manage each applicant's progress against a requisition.","Given a candidate applies, when I record the application, then the application is linked to the candidate with the resume stored.; Given an application is in progress, when I update its status, then the new status is reflected in the application tracking view.",High,"FR 6.13.2 (Talent Pool Management — application tracking, resume storage, status tracking)"
TA-07,Talent Acquisition,Define interview panels,"As a Company/HR Admin, I want to define interview panels for a requisition, so that the right evaluators are assigned to assess candidates.","Given a requisition needs interviews, when I define an interview panel, then the selected panel members are saved for that hiring process.; Given a panel is defined, when scheduling an interview, then panel members are available to be selected.",Medium,FR 6.13.3 (Interview Management — interview panel definition)
TA-08,Talent Acquisition,Schedule interviews with calendar integration,"As a Company/HR Admin, I want to schedule interviews with calendar integration, so that candidates and panel members have coordinated interview times.","Given a panel and candidate are ready, when I schedule an interview, then the interview is booked and reflected via calendar integration.; Given an interview is scheduled, when panel members check their calendar, then the interview appears at the scheduled time.",Medium,FR 6.13.3 (Interview Management — scheduling with calendar integration)
TA-09,Talent Acquisition,Evaluate candidates with structured scorecards,"As an Interview Panel Member, I want to record evaluations using structured scorecards with configurable criteria, so that candidate assessments are consistent and comparable.","Given I am on an interview panel, when I complete a scorecard, then my evaluation is captured against the configured criteria.; Given evaluation criteria need to change, when an admin configures the scorecard criteria, then subsequent interviews use the updated criteria.",Medium,FR 6.13.3 (Interview Management — structured scorecards with configurable evaluation criteria)
TA-10,Talent Acquisition,Track reference checks,"As a Company/HR Admin, I want to track and document reference feedback for candidates, so that reference outcomes are recorded as part of the hiring decision.","Given a candidate is in the hiring process, when I record reference feedback, then the feedback is documented against the candidate.; Given reference checks are recorded, when I review the candidate, then the reference feedback is visible.",Medium,FR 6.13.4 (Reference Checks — tracking and documentation of reference feedback)
TA-11,Talent Acquisition,Manage offers with templates and approvals,"As a Company/HR Admin, I want to generate offer letters from configurable templates and route them through approval, so that offers are consistent and authorized before distribution.","Given a candidate is selected, when I generate an offer from a configurable template, then the offer letter is produced using that template.; Given an offer requires approval, when it is submitted, then it follows the approval workflow before it can be sent.",High,"FR 6.13.5 (Offer Management — configurable templates, approval workflows)"
TA-12,Talent Acquisition,Distribute offers and track candidate response,"As a Candidate, I want to receive an offer electronically and accept or reject it, so that my hiring decision is recorded promptly.","Given an approved offer, when it is distributed electronically, then I receive the offer.; Given I respond to the offer, when I accept or reject it, then the acceptance/rejection is tracked in the system.",High,"FR 6.13.5 (Offer Management — acceptance/rejection tracking, electronic distribution)"
TA-13,Talent Acquisition,Run end-to-end hiring workflow and convert candidate to employee,"As a Company/HR Admin, I want a comprehensive hiring workflow that carries a candidate from requisition through offer and hands off to onboarding on conversion, so that hiring flows seamlessly into employee onboarding.","Given a hiring effort, when a candidate moves through requisition, sourcing, screening, interviews, reference checks, and offer, then the workflow tracks each stage in sequence.; Given a candidate accepts an offer, when they are converted to an employee, then their information is handed off to the onboarding module without re-entry.",High,"FR 6.13.6, 6.13.7 (Hiring Workflows; Candidate Conversion — handoff to onboarding)"
