story_id,module,role,title,user_story,acceptance_criteria,priority,source
DEPT-01,Departments,Company Admin,Create multiple departments within a company,"As a Company Admin, I want to define multiple departments within my company, so that the organizational department structure is represented in the HRMS.","Given I am a Company Admin, when I create a department by providing a name, then the department is saved and appears in my company's department list.; Given a company has no departments yet, when I add departments, then multiple distinct departments can coexist under the same company.; Given one or more departments already exist, when I add further departments, then the system permits an unlimited number of departments per company; Given I create a department, when I save it, then it is scoped to my company only and is not visible to other companies.",High,FR 6.7.1 (define multiple departments)
DEPT-02,Departments,Company Admin,Build hierarchical parent-child department structures,"As a Company Admin, I want to organize departments into parent-child hierarchies, so that reporting lines reflect the real organizational structure.","Given an existing department, when I create another department under it, then the new department is nested as a child of the selected parent.; Given a parent department, when I view the structure, then its child departments are displayed beneath it.; Given a child department, when I change its parent, then the hierarchy updates to reflect the new parent; Given a department, when I set its parent, then the system prevents creating a cycle (a department cannot be its own ancestor or descendant).",High,FR 6.7.1 (hierarchical parent-child structures)
DEPT-03,Departments,Company Admin,Support n-level department nesting,"As a Company Admin, I want to nest departments to any number of levels, so that even deep organizational structures can be modeled accurately.","Given a child department, when I create a further department beneath it, then nesting continues beyond a single level.; Given a multi-level hierarchy, when I add departments at deeper levels, then the system does not restrict the depth of nesting (n-level).; Given an n-level hierarchy, when I view the tree, then all levels are represented correctly with their parent-child relationships intact.",Medium,FR 6.7.1 (n-level nesting)
DEPT-04,Departments,Company Admin,Assign a department head,"As a Company Admin, I want to designate a department head for each department, so that each department has a clearly accountable leader.","Given a department, when I assign a department head, then the designated head is recorded for that department.; Given a department with a head assigned, when I view the department, then the department head is displayed.; Given a department, when I change the designated head, then the department reflects the newly assigned head.; Given a department head, when I select the person, then the head must be a valid employee associated with the company.",High,FR 6.7.2 (designated department head)
DEPT-05,Departments,Company Admin,Assign employees to at least one department,"As a Company Admin, I want every employee to belong to at least one department, so that all employees are accounted for in the organizational structure.","Given a new employee, when the employee record is set up, then the employee must be associated with at least one department.; Given an employee with no department, when I attempt to finalize their record, then the system blocks completion and requires at least one department assignment.; Given an employee, when I view their profile, then their department membership is shown.; Given an employee belongs to exactly one department, when I attempt to remove that last department, then the system prevents leaving the employee with zero departments.",High,FR 6.7.3 (employees belong to at least one department)
DEPT-06,Departments,Company Admin,Assign employees to multiple departments,"As a Company Admin, I want to assign an employee to multiple departments, so that staff who work across teams are represented correctly.","Given an employee already in one department, when I add another department, then the employee belongs to multiple departments simultaneously.; Given an employee with multiple departments, when I view their profile, then all associated departments are listed.; Given an employee with multiple departments, when I remove one department, then the remaining department memberships are preserved (provided at least one remains).",Medium,FR 6.7.3 (may belong to multiple departments)
DEPT-07,Departments,Company Admin,Use departments in role assignment and policy applicability,"As a Company Admin, I want to use departments as a basis for role assignment and policy applicability, so that access and policies can be scoped to organizational units.","Given a defined department, when I assign roles, then the department can be used to scope the role assignment.; Given a policy, when I define its applicability, then I can target it to specific departments.; Given a department-scoped role or policy, when employees are added to or removed from the department, then applicability reflects the current membership.; Given a department hierarchy, when I scope a role or policy to a parent department, then the scope can cascade to child departments as configured.",Medium,"FR 6.7.4 (role assignment, policy applicability)"
DEPT-08,Departments,Company Admin,Use departments in reporting and approvals,"As a Company Admin, I want departments to drive reporting and approval flows, so that reports and approvals follow the organizational structure.","Given departments exist, when reports are generated, then results can be organized and filtered by department.; Given an approval workflow, when a request is routed, then the department structure can be used to determine the approval path.; Given a department hierarchy, when approvals or reports reference it, then the parent-child relationships are respected in aggregation and routing.",Medium,"FR 6.7.4 (reporting, approvals)"
DEPT-09,Departments,Company Admin,Edit and delete departments,"As a Company Admin, I want to rename, reorganize, and delete departments, so that the department structure stays accurate as the company evolves.","Given an existing department, when I edit its name, head, or parent, then the changes are saved and reflected across the structure.; Given a department with child departments, when I attempt to delete it, then the system prompts me to reassign or handle its children before deletion.; Given a department with assigned employees, when I attempt to delete it, then the system prevents orphaning employees and requires reassignment so each affected employee still belongs to at least one department.; Given a department referenced by roles, policies, reporting, or approvals, when I delete it, then the system warns about dependent configurations before removal.",Medium,"FR 6.7.1, FR 6.7.3, FR 6.7.4 (lifecycle management of departments)"
DEPT-10,Departments,Group Company Admin,Oversee department structures across companies in the group,"As a Group Company Admin, I want to view and govern the department structures of all companies in my group, so that organizational structures are consistent across the group.","Given multiple companies exist under my group, when I open the departments view, then I can see each company's department hierarchy scoped to that company.; Given a company in my group, when I inspect its departments, then I can view parent-child structure, department heads, and employee membership counts.; Given group-level oversight, when a company defines departments, then those departments remain isolated to their owning company while remaining visible to me for governance.",Medium,"FR 6.7.1, FR 6.7.2 (multi-company oversight of department structure)"
DEPT-11,Departments,Employee (User),View my own department membership and department head,"As an Employee (User), I want to see which department(s) I belong to and who my department head is, so that I understand my place in the organizational structure and know my reporting line.","Given I am an employee assigned to one or more departments, when I view my profile, then all my department memberships are displayed.; Given my department has a designated head, when I view my department, then the department head is shown.; Given my department sits within a hierarchy, when I view it, then I can see its parent department context; Given I belong to multiple departments, when I view my profile, then each membership is clearly listed.",Low,"FR 6.7.2, FR 6.7.3 (employee visibility of department membership and head)"
DEPT-12,Departments,Employee (Non-User),Be represented in a department without portal access,"As an HR/Company Admin managing an Employee (Non-User), I want non-portal employees to still be assigned to at least one department, so that they are fully represented in the organizational structure, reporting, and policy applicability despite having no login.","Given an Employee (Non-User) record, when it is created, then the employee must be assigned to at least one department just like portal users.; Given a non-user employee assigned to a department, when reports or approvals reference the department, then the non-user employee is included in departmental aggregation and applicability.; Given a non-user employee, when the admin views the department roster, then the non-user employee appears as a member even though they cannot log in.",Low,FR 6.7.3 (department membership for non-user employees)
DEPT-13,Departments,Platform Admin,Tenant-scoped bitemporal department records with effective-dated history,"As a Platform Admin, I want department records and their memberships stored as tenant-scoped, effective-dated, bitemporal data, so that every structural change is auditable and the correct hierarchy can be reconstructed for any past date without leaking across tenants.","Given a department, department head, or membership change, when it is saved, then the prior state is retained as history with valid-from/valid-to dates rather than being overwritten.; Given an as-of date, when the hierarchy is queried, then the department structure, heads, and memberships that were effective on that date are returned.; Given multiple companies and groups on the platform, when any department query executes, then row-level security restricts results to the requesting tenant's scope so one company's departments are never returned to another.; Given a correction to a past department record, when it is applied, then both the transaction time and the effective time are preserved so the audit trail distinguishes when the fact was true from when it was recorded.",Medium,"FR 6.7.1 (L1 domain/data: bitemporal history, effective-dating, RLS tenant isolation)"
DEPT-14,Departments,Company Admin,Configure custom fields and metadata schema for departments,"As a Company Admin, I want to define custom fields (UDFs) and metadata on the department entity through governed config, so that departments capture company-specific attributes without any code change.","Given the department config, when I add a custom field with a type and validation rules, then the field becomes available on department create/edit forms for my company.; Given a custom-field schema, when I version or effective-date a change, then existing departments retain values captured under the prior schema and new entries use the current schema.; Given a custom field is defined, when the Forms engine renders the department form, then the field appears and is validated per its configured rules; Given the config is tenant-scoped, when I change the department schema, then the change applies only to my company and not to other tenants.",Medium,FR 6.7.1 (L2 config: UDF/custom-field schema for departments)
DEPT-15,Departments,Company Admin,Configure department-keyed approver graphs and policy applicability rules,"As a Company Admin, I want to configure approver graphs and policy applicability decision tables keyed on department (and its hierarchy) through governed, versioned config, so that the shared engines route and apply rules correctly without code changes.","Given the approval config, when I define an approver graph that references a department or department head, then the workflow engine can read that config to build the approval path.; Given a policy applicability decision table, when I add rows that match on department or a parent department, then the rules engine can evaluate applicability against a given employee's department membership.; Given a config change, when I save it, then it is versioned and effective-dated so in-flight items keep the config version that applied when they started; Given department config, when it references a department that is later deleted, then the system flags the dependent config for review.",Medium,"FR 6.7.4 (L2 config: department-keyed approver graphs, policy applicability decision tables)"
DEPT-16,Departments,Employee (User),Approval routing resolved by the workflow engine using the department hierarchy,"As an Employee (User) submitting a request, I want the workflow engine to resolve my approval path from my department and its hierarchy, so that my request reaches the right approvers automatically.","Given I submit a request, when the workflow engine evaluates the configured approver graph, then it resolves approvers using my department membership and, where configured, the department head.; Given a department-scoped approver graph that cascades, when routing walks up the hierarchy, then parent-department approvers are included in the correct order per the config.; Given I belong to multiple departments, when the engine routes my request, then it selects the applicable department per the configured rule and records the resolution for audit; Given my department's head changes, when a new request is routed, then the engine uses the head effective at routing time.",Medium,FR 6.7.4 (L3 engine: workflow/approval routing over department hierarchy)
