group,screen,story_id,status,priority,user_story,evidence,gap
Configuration/Agreement,Letter Templates,LT-01,done,High,"As an HR admin, I want to view a list of agreement letter templates with their template type ID, letter type, and description, so that I can see all configured templates at a glanc","templates-tab.tsx table (Template, Document type, Task cols); agreements-tab.tsx agreement templates list",
Configuration/Agreement,Letter Templates,LT-02,done,High,"As an HR admin, I want to open and view an individual letter template via the Task action, so that I can review its content",templates-tab.tsx View action opens template-preview-dialog.tsx (read-only preview),
Configuration/Agreement,Letter Templates,LT-03,partial,Medium,"As an HR admin, I want to refresh the letter templates list, so that I see the most up-to-date templates",kensium-artifacts.ts 'Letter Templates' artifact only; no refresh control in templates-tab.tsx,No refresh/reload action on the templates list UI
Configuration/Agreement,Letter Templates,LT-04,done,Medium,"As an HR admin, I want to switch between the Letter Templates, Certification Questionnaire, and Email Templates tabs, so that I can manage related agreement configurations from one",agreements-tab.tsx tabs Templates/Certification Questionnaire/Acknowledgments; Email Templates in catalogs-tab.tsx,
Configuration/Agreement,Letter Templates,LT-05,partial,Low,"As an HR admin, I want to page through the list and see how many items are displayed, so that I can navigate large sets of templates",templates-tab.tsx shows item count header; no pagination controls,No paging (Next/prev) for the templates list
Configuration/Agreement,Letter Templates,LT-06,done,Low,"As an HR admin, I want to cancel out of the Letter Templates view, so that I can exit without making changes",template-overlay.tsx Cancel button exits without saving; tab navigation leaves view,
Configuration/Alerts,Configure Alerts,ALRT-01,done,High,"As an HR admin, I want to enable time off / attendance alerts when attendance is not recorded, so that employees are reminded to record their attendance","components/alerts-tab.tsx — 'Attendance not recorded' toggle + Firing badge, Admin > Alerts step 2",
Configuration/Alerts,Configure Alerts,ALRT-02,done,Medium,"As an HR admin, I want to enable announcement alerts for employees, so that employees are notified of new announcements","components/alerts-tab.tsx — 'New announcement published' toggle, Admin > Alerts step 2",
Configuration/Alerts,Configure Alerts,ALRT-03,done,Medium,"As an HR admin, I want to enable alerts for pending tasks, so that employees are reminded of tasks awaiting action","components/alerts-tab.tsx — 'Task awaiting action' toggle, Admin > Alerts step 2",
Configuration/Alerts,Configure Alerts,ALRT-04,done,Medium,"As an HR admin, I want to enable alerts for overdue tasks, so that employees are notified when tasks pass their due date","components/alerts-tab.tsx — 'Task past due date' toggle, Admin > Alerts step 2",
Configuration/Alerts,Configure Alerts,ALRT-05,done,High,"As an HR admin, I want to save all alert configuration selections together, so that my alert preferences take effect across the system",alerts-tab.tsx Save button -> saveAlerts (use-notification-settings.ts) applies all toggles atomically,
Configuration/Alerts,Setup,ALRT-01,done,High,"As an HR admin, I want to enable the alerts module, so that alert functionality becomes available across the HRMS",alerts-tab.tsx step 1 'Enable Alerts module' master switch (on),
Configuration/Alerts,Setup,ALRT-02,done,Medium,"As an HR admin, I want to disable the alerts module, so that no alerts are generated when they are not needed",alerts-tab.tsx step 1 master switch off -> 'no alerts generated' save toast + inactive badge,
