story_id,module,role,title,user_story,acceptance_criteria,priority,source
DOC-01,Documents and Attachments,Company Admin,Attach documents to a Company,"As a Company Admin, I want to upload and store documents against a Company entity, so that company-level files are centrally organized and retrievable.","Given I am viewing a Company record, when I upload a supported file within the 2 MB limit, then the document is stored and associated with that Company; Given a document is attached to a Company, when I open the Company's documents area, then the file is listed with its metadata (name, upload date, uploaded by, expiry date if set) and is downloadable; Given I upload a Company document, when it is saved, then it is subject to the same format, size, categorization, expiry, and role-based access rules as other entities; Given documents belong to my tenant, when I attach or view Company documents, then only my tenant's Company documents are accessible.",High,FR 6.22.1 (Supported Entities — Company)
DOC-02,Documents and Attachments,Company Admin,Attach documents to an Employee,"As a Company Admin, I want to upload and store documents against an Employee record, so that employee-specific files are kept with the correct person.","Given I am viewing an Employee record, when I upload a supported file within the 2 MB limit, then the document is stored and associated with that Employee; Given documents exist for an Employee, when I view their profile documents area, then all attached documents are listed with metadata (name, upload date, uploaded by, expiry date if set) and are downloadable; Given I attach an Employee document, when I save it, then I can assign a category and optional expiry date; Given Employee documents exist, when access is evaluated, then only users whose role permits access can view or download them.",High,FR 6.22.1 (Supported Entities — Employee)
DOC-03,Documents and Attachments,Company Admin,Attach documents to a Candidate,"As a Company Admin, I want to upload and store documents against a Candidate within Talent Acquisition, so that candidate files stay tied to the applicant record.","Given I am viewing a Candidate within Talent Acquisition, when I upload a supported file within the 2 MB limit, then the document is stored and associated with that Candidate; Given documents exist for a Candidate, when I open their record, then the attached files are listed with metadata and are accessible/downloadable; Given I attach a Candidate document, when I save it, then it supports categorization, optional expiry date, and role-based access like other entities; Given Candidate documents belong to my tenant, when accessed, then no cross-tenant exposure occurs.",Medium,FR 6.22.1 (Supported Entities — Candidate within Talent Acquisition)
DOC-04,Documents and Attachments,Company Admin,Restrict uploads to supported file formats,"As a Company Admin, I want the system to accept only PDF, JPG/JPEG, DOC/DOCX, XLS/XLSX, PNG, and TXT files, so that only usable document types are stored.","Given I select a file in a supported format (PDF, JPG, JPEG, DOC, DOCX, XLS, XLSX, PNG, TXT), when I upload it, then the upload succeeds; Given I select a file in an unsupported format, when I attempt to upload it, then the upload is rejected with a clear error listing the allowed formats; Given format validation runs, when a file's actual type is checked, then validation is enforced consistently for Company, Employee, and Candidate uploads.",High,FR 6.22.2 (File Support — supported formats)
DOC-05,Documents and Attachments,Company Admin,Enforce maximum file size,"As a Company Admin, I want the system to enforce a 2 MB maximum file size, so that storage stays controlled and uploads remain performant.","Given a file is 2 MB or smaller, when I upload it, then the upload is accepted; Given a file exceeds 2 MB, when I attempt to upload it, then the upload is rejected with a message stating the 2 MB limit; Given the size limit is enforced, when uploads occur on any supported entity (Company, Employee, Candidate), then the 2 MB maximum applies uniformly.",High,FR 6.22.2 (File Support — 2 MB maximum file size)
DOC-06,Documents and Attachments,Company Admin,Capture document metadata,"As a Company Admin, I want each document to record metadata such as name, upload date, uploaded by, and expiry date, so that files can be identified and audited.","Given I upload a document, when it is saved, then the name, upload date, and uploaded-by user are recorded automatically; Given I set an expiry date during upload or edit, when the document is saved, then the expiry date is stored as part of its metadata; Given a document has metadata, when I view the document, then name, upload date, uploaded by, and expiry date (if set) are all displayed; Given metadata is captured, when documents are listed, then metadata is available for identification and audit purposes.",High,FR 6.22.3 (Document Features — metadata)
DOC-07,Documents and Attachments,Company Admin,Track document expiration,"As a Company Admin, I want to track document expiration, so that I can identify documents that have expired or are approaching expiry.","Given a document has an expiry date, when that date passes, then the document is flagged as expired; Given I review stored documents, when I filter or view by expiry, then expired and upcoming-expiry documents are identifiable; Given documents without an expiry date exist, when expiration tracking runs, then they are treated as non-expiring and not flagged; Given a document is flagged expired, when I view it, then its expired status is clearly indicated alongside its metadata.",Medium,FR 6.22.3 (Document Features — expiration tracking)
DOC-08,Documents and Attachments,Company Admin,Categorize documents,"As a Company Admin, I want to categorize documents, so that files can be organized and located by type.","Given I upload or edit a document, when I assign a category, then the category is saved with the document; Given documents are categorized, when I browse documents, then I can view or filter them by category; Given categorization is applied, when documents span Company, Employee, and Candidate entities, then categories organize files consistently across those entities.",Medium,FR 6.22.3 (Document Features — categorization)
DOC-09,Documents and Attachments,Company Admin,Enforce role-based access to documents,"As a Company Admin, I want document access to be governed by role-based access controls, so that users only see documents they are authorized to view.","Given a user has a role permitting access to a document, when they open the entity, then the document is visible and accessible/downloadable to them; Given a user's role does not permit access, when they view the entity, then the restricted document is not shown or downloadable; Given role-based access is enforced, when access is evaluated, then it applies to Company, Employee, and Candidate documents and combines with tenant isolation so no unauthorized or cross-tenant access occurs.",High,"FR 6.22.3 (Document Features — role-based access); FR 6.22.4 (Security — access controls)"
DOC-10,Documents and Attachments,Platform Admin,Secure documents with encryption and tenant isolation,"As a Platform Admin, I want documents encrypted at rest and isolated per tenant, so that stored files are protected and never exposed across tenants.","Given a document is stored, when it resides at rest, then it is encrypted; Given documents belong to a specific tenant, when any user accesses documents, then only that tenant's documents are retrievable, with no cross-tenant leakage; Given encryption and isolation are in force, when documents are read or downloaded, then they are decrypted only for authorized users of the owning tenant; Given tenant isolation applies, when documents exist for Company, Employee, and Candidate entities, then the isolation boundary holds across all supported entities.",High,"FR 6.22.4 (Security — encryption at rest, tenant isolation, access controls)"
