story_id,module,role,title,user_story,acceptance_criteria,priority,source
PORT-01,Portfolio Management,Platform Admin,Create portfolio with core attributes,"As a Platform Admin, I want to create a portfolio capturing name, description, manager, and associated companies so that shared-services teams can administer multiple companies together.","Given I am authenticated as Platform Admin on Company Management > Portfolios; when I click ""+ Create Portfolio"" and enter Portfolio Name, Description, select a Portfolio Manager, and multi-select associated companies from active companies; then the system creates the portfolio, auto-generates a PortfolioCode in format PORT-YYYY-NNN, sets Status to Active, and persists CreatedDate, CreatedBy; and only Platform Admin can access the create action (Create Portfolio is denied to Portfolio Admin, Group Company Admin, and Company Admin per RBAC).",High,"PORT-FR-001 (§3.2.1), §7.1 RBAC Create Portfolio, §4.2.2 Portfolio Entity"
PORT-02,Portfolio Management,Platform Admin,Validate portfolio name and description fields,"As a Platform Admin, I want portfolio name and description validated so that portfolio records stay consistent and unique.","Given I am creating or editing a portfolio; when I submit a Portfolio Name; then the system enforces Portfolio Name is required, unique across portfolios, and 3-50 characters, and rejects a duplicate name with error PORT_001 (Portfolio name exists, HTTP 409); and when I enter a Description, then it is optional and limited to 500 characters maximum.",High,"PORT-FR-001 (§3.2.1), §4.2.2 Portfolio Entity, PORT_001 (§9)"
PORT-03,Portfolio Management,Platform Admin,Enforce one-portfolio-per-company constraint,"As a Platform Admin, I want the system to prevent a company from belonging to more than one portfolio so that portfolio ownership stays unambiguous.","Given a company is already associated with an existing portfolio; when I attempt to add that same company to another portfolio during creation or modification; then the system rejects the association with error PORT_002 (Company already in another portfolio, HTTP 409) and the company is not added; and the company selector only offers active companies not already in another portfolio.",High,"PORT-FR-002 (§3.2.1), PORT_002 (§9), §4.2.3 PortfolioCompany"
PORT-04,Portfolio Management,Platform Admin,Enforce portfolio manager role requirement,"As a Platform Admin, I want the assigned portfolio manager to hold the Portfolio Manager role so that only authorized users manage a portfolio.","Given I am assigning a Portfolio Manager to a portfolio; when I select a user who does not hold the Portfolio Manager role; then the system rejects the assignment and requires a user with the Portfolio Manager role; and when I select a valid user with the Portfolio Manager role, then the PortfolioManagerId is saved as a foreign key to that user.",High,"PORT-FR-002 (§3.2.1), §4.2.2 Portfolio Entity"
PORT-05,Portfolio Management,Platform Admin,Enforce minimum one company per portfolio,"As a Platform Admin, I want a portfolio to contain at least one company after creation so that portfolios are never left empty in operation.","Given a portfolio exists; when I attempt to remove companies such that zero companies would remain; then the system blocks the operation and enforces a minimum of one company per portfolio; and the empty state is permitted only transiently during initial creation before companies are selected.",Medium,"PORT-FR-002 (§3.2.1)"
PORT-06,Portfolio Management,Platform Admin,Add companies to an existing portfolio,"As a Platform Admin, I want to add companies to an existing portfolio so that the shared-services team can expand its scope.","Given I open Manage Companies for a portfolio; when I add one or more active companies that do not belong to another portfolio; then each company is linked via a PortfolioCompany junction record capturing PortfolioId, CompanyId, AddedDate, and AddedBy; and any company already in another portfolio is rejected with error PORT_002.",High,"PORT-FR-003 (§3.2.1), §4.2.3 PortfolioCompany, PORT_002 (§9)"
PORT-07,Portfolio Management,Portfolio Admin,Remove companies from a portfolio with confirmation,"As a Portfolio Admin, I want to remove a company from my portfolio with a confirmation step so that I do not accidentally detach a company.","Given I am the Portfolio Admin (Portfolio Manager) of my own portfolio; when I remove a company; then the system displays a confirmation dialog before removing, and upon confirmation deletes the PortfolioCompany junction record; and the removal is blocked if it would leave the portfolio with fewer than one company; and Add/Remove Companies is permitted for Platform Admin and the Portfolio Admin of the own portfolio only.",Medium,"PORT-FR-003 (§3.2.1), §7.1 RBAC Add/Remove Companies"
PORT-08,Portfolio Management,Platform Admin,Change portfolio manager,"As a Platform Admin, I want to change the manager assigned to a portfolio so that management responsibility can be reassigned.","Given a portfolio exists with an assigned manager; when I change the Portfolio Manager to another user; then the system validates the new user holds the Portfolio Manager role, updates PortfolioManagerId, and records ModifiedDate and ModifiedBy; and the change is captured in the audit trail as a PORTFOLIO_MODIFIED event.",Medium,"PORT-FR-003 (§3.2.1), §8 PORTFOLIO_MODIFIED"
PORT-09,Portfolio Management,Portfolio Admin,Update portfolio description,"As a Portfolio Admin, I want to update my portfolio's description so that its purpose stays accurate.","Given I manage a portfolio; when I edit and save the Description; then the system validates the 500-character maximum, persists the new value, updates ModifiedDate and ModifiedBy, and logs a PORTFOLIO_MODIFIED audit event with the changes and user.",Low,"PORT-FR-003 (§3.2.1), §8 PORTFOLIO_MODIFIED"
PORT-10,Portfolio Management,Platform Admin,View portfolios list,"As a Platform Admin, I want to view the list of portfolios with manager and company summary so that I can oversee shared-services structures.","Given I open Company Management > Portfolios; then each portfolio card shows Portfolio name, Manager (name and email), and Companies count with company names, plus actions View Details, Edit, and Manage Companies; and the [+ Create Portfolio] action is visible only to Platform Admin.",Medium,"§5.4 Portfolio Management UI, §7.1 RBAC"
PORT-11,Portfolio Management,Platform Admin,Create portfolio via API,"As a Platform Admin integrator, I want to create a portfolio via the API so that portfolios can be provisioned programmatically.","Given a valid bearer token with Platform Admin authority; when I POST /api/v1/portfolios with portfolioName, description, portfolioManagerId, and companyIds; then the API returns 201 Created with portfolioId, portfolioCode (PORT-YYYY-NNN), portfolioName, status Active, the linked companies with addedDate, and createdDate; and it returns 409 with PORT_001 for a duplicate portfolio name and 409 with PORT_002 if any company is already in another portfolio.",High,"§6.2.1 Create Portfolio API, PORT-FR-001, PORT_001/PORT_002 (§9)"
PORT-12,Portfolio Management,Group Company Admin,Company context switcher dropdown,"As a multi-company user, I want a company context selector in the header so that I can switch the company I am working in.","Given I am a user with access to multiple companies; when I view the header, then a company context selector displays the current company prominently with its name; and when I open the dropdown, then it lists only my authorized companies with the current one marked selected, plus a ""View All Companies..."" option; and the selector is hidden for single-company users.",High,"PORT-FR-004 (§3.2.2), §5.5 Company Context Switcher"
PORT-13,Portfolio Management,Group Company Admin,Validate authorization on context switch,"As a user, I want the system to validate my authorization before switching company context so that I cannot access unauthorized companies.","Given I select a target company from the switcher; when the system processes the switch; then it validates my authorization for the target company, and if I am not authorized it denies the switch with error AUTH_002 (Context switch not permitted, HTTP 403) and keeps my current context; and Switch to Authorized Companies is permitted for Platform Admin, Portfolio Admin, and Group Company Admin, while Switch to Any Company is limited to Platform Admin.",High,"PORT-FR-005 (§3.2.2), AUTH_002 (§9), §7.1 RBAC Context Switching"
