story_id,module,title,user_story,acceptance_criteria,priority,source
EMP-01,Employees,Company-specific employee records,"As a Company/HR Admin, I want each employee record to be scoped to a single company, so that workforce data remains isolated and accurate per company.","Given I create an employee, when the record is saved, then it is associated with exactly one company.; Given the same physical person is employed by two companies, when records are created, then a separate employee record exists in each company rather than a shared record.",High,FR 6.9.1
EMP-02,Employees,Employee with or without a linked user account,"As a Company/HR Admin, I want to maintain an employee record either standalone or linked to a user account, so that I can track staff who do not need system access as well as those who do.","Given I create an employee, when no system access is required, then the record can be saved without a linked user account.; Given an employee requires system access, when I link a user account, then the employee record is associated with that account.",High,FR 6.9.2
EMP-03,Employees,Core organizational assignments,"As a Company/HR Admin, I want to assign each employee to a company, jurisdiction, department, and position, so that their placement in the organization is clearly defined.","Given I create or edit an employee, when I save the record, then exactly one company, one jurisdiction, and one position are assigned.; Given an employee record, when I assign departments, then at least one department is required and multiple departments may be assigned.",High,FR 6.9.3
EMP-04,Employees,Group and multi-location assignment,"As a Company/HR Admin, I want to optionally assign employees to groups and to one or more locations, so that I can reflect team membership and where staff operate.","Given an employee record, when I assign groups, then zero or more groups may be linked.; Given an employee who works across sites, when I assign locations, then one or more operating locations may be recorded.",Medium,FR 6.9.3
EMP-05,Employees,Employee lifecycle events,"As a Company/HR Admin, I want employee records to support lifecycle events such as onboarding, probation, performance, transfers, and exit, so that I can manage the full employment journey in one place.","Given an employee record, when a lifecycle event occurs (onboarding, probation, performance, transfer, or exit), then it can be captured against the record.; Given lifecycle events are recorded, when I review an employee, then their current lifecycle stage is visible.",High,FR 6.9.4
EMP-06,Employees,Primary reporting manager,"As a Company/HR Admin, I want each employee to have exactly one primary reporting manager, so that the core reporting structure is unambiguous.","Given an employee record, when I set the reporting structure, then exactly one primary manager is assigned.; Given an employee, when no primary manager is set or more than one is attempted, then the system enforces the single primary manager rule.",High,FR 6.9.5
EMP-07,Employees,Dotted-line (matrix) managers,"As a Company/HR Admin, I want to optionally assign one or more functional/matrix managers to an employee, so that dotted-line reporting relationships are represented.","Given an employee record, when I add dotted-line managers, then zero, one, or more functional managers may be assigned.; Given dotted-line managers exist, when I view the employee, then they are shown as distinct from the primary manager.",Medium,FR 6.9.5
EMP-08,Employees,Temporary/acting manager with delegation,"As a Manager, I want to assign a temporary/acting manager for my reports, so that responsibilities are delegated automatically while I am unavailable.","Given an employee, when a temporary/acting manager is assigned, then the assignment is recorded against the employee.; Given a temporary manager assignment, when it is active, then delegation to the acting manager occurs automatically.",Medium,FR 6.9.5
EMP-09,Employees,Effective-dated manager changes with audit trail,"As a Company/HR Admin, I want all manager assignment changes to be effective-dated with a complete audit trail, so that reporting history is accurate and traceable.","Given I change a manager assignment, when I save it, then an effective date is required.; Given manager changes have been made, when I review history, then a complete audit trail of each change is available.",High,FR 6.9.5
EMP-10,Employees,Duplicate detection on government IDs,"As a Company/HR Admin, I want the system to enforce uniqueness of government identification fields (Aadhar, Passport, PAN) with deduplication prompts, so that duplicate employee records are prevented.","Given I enter an Aadhar, Passport, or PAN, when the value already exists, then the system flags it and prompts for deduplication.; Given a duplicate government ID is detected, when I proceed, then I am guided to resolve the duplicate before saving.",High,FR 6.9.6
EMP-11,Employees,Statutory workforce data capture (Indian labor law),"As a Company/HR Admin, I want to capture statutory workforce data such as UAN, ESIC number, ESI/PF eligibility, Professional Tax registration, LWF applicability, maternity benefit eligibility, and gratuity eligibility, so that the company remains compliant with Indian labor law.","Given an employee record, when I enter statutory details, then UAN, ESIC number, ESI/PF eligibility status, Professional Tax registration, LWF applicability, maternity benefit eligibility, and gratuity eligibility can all be captured.; Given statutory fields are captured, when I view the employee, then these details are available for compliance reporting.",High,FR 6.9.7
EMP-12,Employees,Leave balances with statutory entitlements,"As a Company/HR Admin, I want to track employee leave balances with their statutory entitlements, so that leave records reflect legally mandated allowances.","Given an employee record, when leave data is maintained, then leave balances are tracked alongside statutory entitlements.; Given leave balances exist, when I review an employee, then current balances and statutory entitlements are visible.",Medium,FR 6.9.7
