story_id,module,role,title,user_story,acceptance_criteria,priority,source
DMX-01,Data Model Extensibility,Company Admin,Extend supported entities with custom fields,"As a Company Admin, I want to add custom fields to the core entities Companies, Locations, Departments, Groups, Positions, and Employees, so that I can capture data unique to my organization without waiting for platform changes.","Given I am configuring the data model, when I choose an entity to extend, then only the supported entities (Companies, Locations, Departments, Groups, Positions, Employees) are selectable.; Given I add a custom field to a supported entity, when I save it, then the field appears on all records of that entity type.; Given an entity is not in the supported list, when I attempt to extend it, then the option is unavailable or hidden.; Given I have added a custom field to an entity, when I view or edit a record of that entity, then the custom field renders in the record's form and detail view.",High,FR 6.26.1 (Supported Entities)
DMX-02,Data Model Extensibility,Platform Admin,Define platform-level custom fields available across all companies,"As a Platform Admin, I want to define platform-level custom fields, so that the same field is available consistently across all companies (tenants) on the platform.","Given I create a custom field with platform-level scope, when I save it, then the field is available across all companies without per-company reconfiguration.; Given a platform-level field exists, when any company views the associated entity, then the field is present and consistent everywhere.; Given a platform-level field is defined, when a Company Admin views field configuration, then the platform-level field is visible but governed by platform scope (not editable at company level unless permitted).; Given I attach a platform-level field to a supported entity, when the entity type is not supported, then the action is prevented.",High,FR 6.26.2 (Scope Levels)
DMX-03,Data Model Extensibility,Company Admin,Define company-level (tenant-specific) custom fields,"As a Company Admin, I want to define company-level custom fields, so that I can capture tenant-specific data without affecting other companies.","Given I create a custom field with company-level scope, when I save it, then the field is available only within my company (tenant).; Given a company-level field exists in one tenant, when another tenant views the same entity, then that field is not present.; Given both a platform-level and a company-level field exist, when I view the entity, then both are visible with the company-level field scoped only to my tenant.",High,FR 6.26.2 (Scope Levels)
DMX-04,Data Model Extensibility,Company Admin,Choose from a rich set of field data types,"As a Company Admin, I want to choose an appropriate data type when creating a custom field, so that captured data is stored, validated, and displayed according to its nature.","Given I am creating a custom field, when I select its data type, then I can choose from single-line text, multi-line text, number, decimal, currency, percentage, boolean, date, date-time, single-select list, multi-select list, lookup/reference, email, phone, URL, and file/attachment.; Given I select a data type, when data is entered into the field, then input is validated, stored, and displayed consistent with that type.; Given I select email, phone, or URL, when a user enters a malformed value, then the value is rejected with a type-appropriate validation error.; Given I select number, decimal, currency, or percentage, when a user enters non-numeric text, then the value is rejected and numeric formatting is applied on display.; Given I select date or date-time, when a value is entered, then it is captured and displayed in the correct date/time format.; Given I select boolean, when a user edits the record, then the field renders as a two-state control (true/false).",High,FR 6.26.3 (Data Types)
DMX-05,Data Model Extensibility,Company Admin,Configure single- and multi-select list fields,"As a Company Admin, I want to configure list fields as single-select or multi-select with a defined set of options, so that users choose from controlled values.","Given I create a single-select list field, when I define its options and save, then a user editing a record can select exactly one option.; Given I create a multi-select list field, when I define its options and save, then a user editing a record can select one or more options.; Given I define the option set for a list field, when a user edits a record, then only the configured options are selectable (no free-form entry).; Given a list field is required, when a user saves without selecting an option, then the save is blocked with a validation message.",Medium,FR 6.26.3 (Data Types)
DMX-06,Data Model Extensibility,Company Admin,Configure lookup/reference fields,"As a Company Admin, I want to create lookup/reference fields, so that a custom field can reference another entity or record rather than storing a free-form value.","Given I create a lookup/reference field, when I configure its target entity and save, then a user editing a record can select a referenced record instead of typing a value.; Given a referenced record exists, when the field is displayed, then it resolves to and shows the referenced record.; Given a referenced record is selected, when the field is used in search, export, or reporting, then it resolves to the referenced record's identity.",Medium,FR 6.26.3 (Data Types)
DMX-07,Data Model Extensibility,Company Admin,Mark custom fields as required or optional,"As a Company Admin, I want to configure whether a custom field is required or optional, so that mandatory data is always captured while optional data stays flexible.","Given a custom field is marked required, when a user saves a record without a value, then the save is blocked with a validation message identifying the field.; Given a custom field is marked optional, when a user saves a record without a value, then the save succeeds.; Given I change a field from optional to required, when new records are saved, then the required rule is enforced going forward.",High,FR 6.26.4 (Field Behaviors)
DMX-08,Data Model Extensibility,Company Admin,Apply field masks and regex validation,"As a Company Admin, I want to apply field masks and regular-expression validation to custom fields, so that entered data conforms to the required format.","Given a custom field has a field mask defined, when a user enters data, then input is formatted according to the mask.; Given a custom field has a regex validation rule, when a user enters a value that fails the rule, then the value is rejected with a validation error.; Given a value matches the regex rule, when the user saves, then the record is accepted.; Given both a mask and a regex rule are configured, when a user enters a value, then the mask shapes input and the regex validates the final value before save.",High,FR 6.26.4 (Field Behaviors)
DMX-09,Data Model Extensibility,Company Admin,"Search, report, and import/export on custom fields","As a Company Admin, I want custom fields to be searchable, included in import/export, and available for reporting, so that custom data is as usable as standard data.","Given custom fields exist, when I run a search, then I can search and filter records by those custom fields.; Given custom fields exist, when I import records, then custom field values are accepted and populated with their validations enforced.; Given custom fields exist, when I export records, then the custom field values are included in the export.; Given custom fields exist, when I build a report, then the fields are available as reportable columns/dimensions.",High,FR 6.26.5 (Integration)
DMX-10,Data Model Extensibility,Company Admin,Use custom fields in workflows and APIs,"As a Company Admin, I want custom fields to be available in workflow conditions and accessible via APIs, so that automation and integrations can act on custom data.","Given custom fields exist, when I configure a workflow condition, then the custom fields are selectable as condition inputs and evaluated at runtime.; Given custom fields exist, when an integration calls the API, then the custom field values are readable via the API.; Given custom fields exist, when an integration writes via the API, then custom field values can be set subject to their type, required, mask, and regex validations.",Medium,FR 6.26.5 (Integration)
