story_id,module,role,title,user_story,acceptance_criteria,priority,source
TNA-01,Time and Attendance,Company Admin,Manual attendance entry,"As a Company Admin, I want to manually enter and edit attendance records for employees, so that attendance can be captured even when automated methods are unavailable.","Given I am an authorized HR/Company Admin, when I open an employee's attendance for a given date, then I can manually enter or edit punch-in and punch-out times; Given I enter times, when I save, then the system validates that punch-out is after punch-in and flags overlapping or duplicate entries for the same date; Given a manual entry is saved, when the record is persisted, then it is attributed to the entering user with timestamp and made available for attendance review, overtime evaluation, and reporting; Given manual entry is used for an Employee (Non-User) with no self-service login, when I record their attendance, then it is stored against that employee identically to other capture methods; Given manual entry is one of several capture methods, when a record is created manually, then its capture source is recorded as manual for traceability",High,FR 6.18.1 (Attendance Capture Methods — manual entry)
TNA-02,Time and Attendance,Company Admin,Biometric device integration,"As a Company Admin, I want attendance to be captured automatically from integrated biometric devices, so that employee punches are recorded without manual effort.","Given a biometric device is integrated and mapped to employees, when an employee punches in or out, then the attendance record is captured against the correct employee with the exact device timestamp; Given a device transmits records, when they are ingested, then the timestamps are stored, tagged with capture source biometric, and made available for attendance review; Given a punch cannot be matched to a known employee, when ingestion runs, then the record is flagged as unmatched/exception for admin resolution; Given both biometric and other sources record for the same day, when records are consolidated, then duplicates are reconciled without double-counting worked hours",High,FR 6.18.1 (Attendance Capture Methods — biometric device integration)
TNA-03,Time and Attendance,Company Admin,Third-party API integration for attendance,"As a Company Admin, I want attendance data to be captured via API integration with third-party systems, so that attendance recorded in external tools flows into the HRMS.","Given a third-party system is integrated via API, when it sends attendance data, then the records are received and stored against the correct employees with capture source API; Given incoming API data, when it is processed, then it is validated and made available alongside manual, biometric, and file-import records for review; Given an API payload contains malformed or unmatched records, when processing runs, then invalid records are rejected/flagged with an error reason and valid records are still ingested; Given API-sourced records, when consolidated with other sources, then duplicates are reconciled to avoid double counting",Medium,FR 6.18.1 (Attendance Capture Methods — API integration with third-party systems)
TNA-04,Time and Attendance,Company Admin,CSV/XLS attendance file import,"As a Company Admin, I want to import attendance from CSV/XLS files, so that I can bulk-load attendance records from external sources.","Given I have a CSV or XLS attendance file, when I upload it, then the system parses and imports the attendance records and reports a summary of successes and failures; Given imported rows, when the import completes, then records are associated with the correct employees and dates and tagged with capture source import; Given rows with invalid employee IDs, dates, or times, when validation runs, then those rows are rejected with a clear error and valid rows are still imported; Given an imported record duplicates an existing record for the same employee and date, when consolidation runs, then duplicates are reconciled rather than double-counted",Medium,FR 6.18.1 (Attendance Capture Methods — CSV/XLS file import)
TNA-05,Time and Attendance,Company Admin,Define shift patterns and manage rosters,"As a Company Admin, I want to define shift patterns and manage rosters, so that employees are scheduled to the correct working shifts.","Given I am configuring shifts, when I create a shift pattern, then I can specify its working hours, breaks, and whether it is a night shift, and reuse it across rosters; Given a roster, when I assign employees to shifts across dates, then their scheduled shifts are reflected for those dates and drive overtime and statutory evaluation; Given a roster assignment, when I edit or reassign shifts, then changes are saved and the updated schedule is visible to affected employees; Given overlapping or conflicting shift assignments, when I save the roster, then conflicts are detected and flagged",High,"FR 6.18.2 (Shifts and Rosters — shift pattern definition, roster management)"
TNA-06,Time and Attendance,Employee (User),Request a shift swap with approval,"As an Employee (User), I want to request a shift swap that goes through an approval workflow, so that I can exchange shifts with authorization.","Given I am assigned a shift, when I request a swap with a colleague, then the request is routed through the defined approval workflow to the appropriate approver; Given a swap request is submitted, when it is pending, then I can view its status and the counterparty is notified; Given a swap request is approved, when the approval is recorded, then the roster is automatically updated to reflect the swapped shifts for both employees; Given a swap request is rejected, when the decision is recorded, then the original roster is unchanged and I am notified with the outcome",Medium,FR 6.18.2 (Shifts and Rosters — shift swapping with approval workflows)
TNA-07,Time and Attendance,Company Admin,Company and location-specific holiday calendars,"As a Company Admin, I want to configure company-specific and location-specific holiday calendars, so that holidays are correctly reflected for each location.","Given I manage holiday calendars, when I add a holiday, then I can scope it to the whole company or to a specific location; Given multiple locations, when I maintain calendars, then each location can have its own distinct holiday set; Given holiday calendars are configured, when attendance is evaluated, then the applicable holidays are recognized for the relevant employees based on their location; Given a day marked as a holiday, when overtime is computed, then work on that day is eligible for holiday-category overtime",High,FR 6.18.3 (Holiday Calendars — company and location-specific configuration)
TNA-08,Time and Attendance,Company Admin,Optional holidays configuration,"As a Company Admin, I want to configure optional holidays in the holiday calendar, so that employees can choose from a set of optional holidays.","Given I am configuring a holiday calendar, when I mark a holiday as optional, then it is distinguished from mandatory/fixed holidays; Given a set of optional holidays and a permitted count, when configured, then employees may select up to the allowed number of optional holidays; Given optional holidays are configured, when they are applied, then they are handled distinctly from fixed holidays in attendance and leave evaluation; Given an optional holiday is not opted by an employee, when attendance is evaluated, then that day is treated as a normal working day for that employee",Low,FR 6.18.3 (Holiday Calendars — optional holidays)
TNA-09,Time and Attendance,Company Admin,Overtime calculation and categorization,"As a Company Admin, I want overtime to be calculated and categorized as normal, holiday, or night shift, so that overtime is accurately classified for processing.","Given attendance records, when overtime hours are computed, then they are calculated as worked hours beyond the standard scheduled/statutory hours; Given overtime is calculated, when it is stored, then it is categorized as normal, holiday, or night shift based on the day type and shift; Given work performed on a configured holiday, when overtime is categorized, then it is classified as holiday overtime; Given work performed during a night shift, when overtime is categorized, then it is classified as night-shift overtime; Given categorized overtime, when it is finalized, then it is available to payroll processing",High,FR 6.18.4 (Overtime Management — calculation and categorization)
TNA-10,Time and Attendance,Company Admin,Overtime eligibility and approval,"As a Company Admin, I want overtime eligibility to be governed by worker category and approved through a workflow, so that only eligible, authorized overtime is finalized.","Given a worker category, when overtime is evaluated, then only workers eligible by their category are considered for overtime and ineligible workers accrue none; Given overtime is recorded for an eligible worker, when it requires authorization, then it is routed through an approval workflow before being finalized; Given overtime is approved, when the decision is recorded, then it is marked authorized and released for payroll; Given overtime is rejected, when the decision is recorded, then it is not paid and the requester is notified with the outcome",Medium,"FR 6.18.4 (Overtime Management — eligibility by worker category, approval workflows)"
TNA-11,Time and Attendance,Employee (User),Attendance exception correction requests,"As an Employee (User), I want to raise correction requests for missed punches, late arrivals, and early exits, so that attendance errors can be corrected through an approval flow.","Given an attendance exception such as a missed punch, late arrival, or early exit, when I submit a correction request with justification, then it is routed through the defined approval flow to the correct approver; Given a submitted request, when it is pending, then I can track its status and receive notification of the decision; Given a correction request is approved, when the decision is recorded, then the attendance record is updated accordingly; Given a correction request is not actioned within the defined threshold, when the escalation rule triggers, then the request is escalated to the next authority automatically",High,FR 6.18.5 (Attendance Exception Workflows — correction requests with approval flows and escalation rules)
TNA-12,Time and Attendance,Company Admin,Statutory working hours configuration,"As a Company Admin, I want to configure statutory working hours aligned with Indian labor law, so that attendance complies with legal working-hour requirements.","Given I am configuring working hours, when I set daily working hours, weekly off, and maximum working-hour limits, then the configuration is saved and applied to the relevant employees; Given the statutory configuration, when attendance is evaluated, then it is assessed against the configured daily hours, weekly off, and maximum-hour limits; Given worked hours exceed the configured maximum daily or weekly limits, when evaluation runs, then a compliance violation is flagged for review; Given the weekly-off configuration, when attendance is evaluated, then work on weekly-off days is identified for appropriate overtime/holiday handling",High,FR 6.18.6 (Statutory Working Hours — Indian labor law alignment)
TNA-13,Time and Attendance,Company Admin,Administrative override with audit trail,"As a Company Admin, I want to override attendance records with a mandatory reason and full audit trail, so that corrections are authorized and traceable.","Given I override an attendance record, when I save the change, then I must provide a mandatory reason before the override is accepted; Given an override is applied, when the change is persisted, then a full audit trail captures the before and after values, the reason, the acting user, and the timestamp; Given an audit trail exists, when I review override history, then all overrides for a record are visible and immutable; Given an override changes worked hours, when downstream calculations run, then overtime and statutory evaluations reflect the overridden values",High,FR 6.18.7 (Administrative Override — override with mandatory reason and full audit trail)
TNA-14,Time and Attendance,Company Admin,Approve or reject shift swap requests,"As a Company Admin, I want to review and decide on shift swap requests, so that only authorized shift exchanges are applied to the roster.","Given a pending shift swap request, when I open it, then I can see both employees, the shifts involved, and any conflicts before deciding; Given I approve a swap, when the decision is recorded, then the roster is updated for both employees and both are notified; Given I reject a swap, when the decision is recorded, then the roster is unchanged and the requester is notified with a reason; Given a swap would create a scheduling conflict or breach statutory limits, when I review it, then the system warns me before I approve",Medium,"FR 6.18.2 (Shifts and Rosters — shift swapping with approval workflows, approver side)"
TNA-15,Time and Attendance,Company Admin,Approve or reject attendance correction requests and manage escalations,"As a Company Admin, I want to review and decide on attendance exception correction requests and handle escalations, so that legitimate corrections are applied while errors are controlled.","Given a pending correction request for a missed punch, late arrival, or early exit, when I open it, then I can see the original record, the requested change, and the justification; Given I approve a correction, when the decision is recorded, then the attendance record is updated and the requester is notified; Given I reject a correction, when the decision is recorded, then the record is unchanged and a reason is captured; Given a request breaches the SLA threshold, when the escalation rule fires, then it is escalated to me or the next authority and appears in an escalations queue",High,"FR 6.18.5 (Attendance Exception Workflows — approval and escalation, approver side)"
TNA-16,Time and Attendance,Company Admin,Configure attendance exception approval flows and escalation rules,"As a Company Admin, I want to configure approval flows and escalation rules for attendance exceptions and overtime, so that requests are routed and escalated correctly.","Given I configure an approval workflow, when I define approver levels and sequence, then correction and overtime requests are routed accordingly; Given I configure escalation rules, when I set time thresholds and escalation targets, then unactioned requests escalate automatically after the threshold; Given multiple approval levels, when a request is approved at one level, then it advances to the next until final authorization; Given a workflow configuration change, when saved, then it applies to subsequently submitted requests",Medium,"FR 6.18.4, FR 6.18.5 (approval workflows and escalation rules configuration)"
