story_id,module,role,title,user_story,acceptance_criteria,priority,source
AUD-01,Audit and Logging,Platform Admin,Audit all Company record actions,"As a Platform Admin, I want the platform to automatically record every create, update, delete, and status-change action performed on Company records, so that all changes to this mandatory audit entity are fully traceable.","Given a Company record is created, updated, deleted, or has its status changed, when the action is committed, then an audit entry is automatically generated for that action.; Given any Company-level change, when it occurs, then the change is not persisted without a corresponding audit entry (audit is mandatory, not optional).; Given a Company status-change action, when it occurs, then the action type is captured distinctly as a status-change in the audit trail.; Given a Company action is initiated but fails or is rolled back, when the transaction does not commit, then no misleading audit entry is left representing a change that did not take effect.",High,FR 6.29.1 (Mandatory Audit Entities — Company)
AUD-02,Audit and Logging,Platform Admin,Audit all Employee record actions,"As a Platform Admin, I want the platform to automatically record every create, update, delete, and status-change action performed on Employee records, so that all changes to this mandatory audit entity are fully accountable.","Given an Employee record is created, updated, deleted, or has its status changed, when the action is committed, then an audit entry is automatically generated for that action.; Given an Employee status change (e.g. active to inactive, onboarding to active), when it occurs, then the action type is captured as a status-change in the audit trail.; Given any Employee-level change, when it occurs, then the change is not persisted without a corresponding audit entry.; Given changes to an Employee (Non-User) who has no system login, when those changes are made by an administrator, then the action is still audited identically to any other Employee record change.",High,FR 6.29.1 (Mandatory Audit Entities — Employee)
AUD-03,Audit and Logging,Company Admin,Capture complete audit data fields,"As a Company Admin, I want each audit entry to capture the entity type, record identifier, and affected field/attribute, so that I can pinpoint exactly what was changed and where.","Given an audited action occurs, when the audit entry is written, then it records the entity type and the record identifier of the affected record.; Given a field-level change occurs, when the audit entry is written, then it records the specific field/attribute that was affected.; Given a single change touches multiple fields, when the audit entry is written, then each changed field/attribute is individually represented so no modified attribute is omitted.; Given a create or delete action (no single field), when the audit entry is written, then the entity type, record identifier, and action type still uniquely identify the affected record.",High,"FR 6.29.2 (Audit Data — entity type, record identifier, field/attribute)"
AUD-04,Audit and Logging,Company Admin,Capture before-and-after values,"As a Company Admin, I want each audit entry to record the previous value and the new value for a changed field, so that I can see the exact transition that took place.","Given a field value is updated, when the audit entry is written, then it stores both the previous value and the new value for that field.; Given a record is created, when the audit entry is written, then the previous value reflects that no prior value existed while the new value captures the initial value.; Given a record or field is deleted/cleared, when the audit entry is written, then the previous value is retained and the new value reflects the empty/deleted state.; Given multiple fields change in one action, when the audit entry is written, then each field carries its own previous and new value pair.",High,FR 6.29.2 (Audit Data — previous/new value)
AUD-05,Audit and Logging,Company Admin,"Capture actor, timestamp, and action type","As a Company Admin, I want each audit entry to record the timestamp, the user/actor responsible, and the action type, so that I can attribute every change to a who, when, and what.","Given an audited action occurs, when the audit entry is written, then it records the timestamp of the action, the user/actor who performed it, and the action type (create, update, delete, or status-change).; Given an action performed by an automated process or system job, when the audit entry is written, then the actor is still identifiable (e.g. system/service identity) rather than blank.; Given the audit timestamp is recorded, when it is stored, then it is precise enough to establish chronological ordering of successive changes to the same record.",High,"FR 6.29.2 (Audit Data — timestamp, user/actor, action type)"
AUD-06,Audit and Logging,Platform Admin,Active audit retention for one year,"As a Platform Admin, I want audit records retained in active storage for one year, so that recent change history is readily available for review.","Given an audit entry is created, when one year has not yet elapsed, then the entry remains available in active retention.; Given an audit entry, when it is queried within the one-year active retention window, then it is returned without needing archival access.; Given an audit entry approaches the end of its one-year active window, when the window elapses, then the entry transitions to archival rather than becoming unavailable.",Medium,FR 6.29.3 (Retention — 1 year active)
AUD-07,Audit and Logging,Platform Admin,Archive audit records for seven years total,"As a Platform Admin, I want audit records archived so that the total retention reaches seven years, so that the platform meets long-term compliance and audit obligations.","Given an audit entry has exceeded the one-year active window, when retention is processed, then the entry is moved to archival storage rather than deleted.; Given an archived audit entry, when it is within the seven-year total retention period, then it remains retrievable from archival storage.; Given an archived audit entry, when it is older than seven years total, then it becomes eligible for disposal.; Given the archival transition and disposal processes run, when they execute, then they themselves preserve the tamper-resistance and integrity of the retained records.",Medium,FR 6.29.3 (Retention — 7 years total with archival)
AUD-08,Audit and Logging,Company Admin,View record-level change history,"As a Company Admin, I want an in-application utility to view the chronological change history for a specific record, so that I can review how that record evolved over time without leaving the application.","Given I am an authorized user viewing a specific record, when I open the change-history utility, then I see its changes listed in chronological order.; Given a record's history is displayed, when I inspect an entry, then I can see the field changed, the previous and new values, the timestamp, and the actor.; Given I am not authorized to view the record's history, when I attempt to open it, then access is denied.; Given a record has history spanning both active and archived storage, when I view it, then the utility presents the available chronological history consistently to the authorized user.",Medium,FR 6.29.4 (Record-Level History)
AUD-09,Audit and Logging,Platform Admin,"Secure, tamper-resistant, tenant-isolated logs","As a Platform Admin, I want audit logs to be tamper-resistant with role-based access and tenant boundary enforcement, so that audit data remains trustworthy and isolated per tenant.","Given an audit log entry exists, when any actor attempts to modify or delete it, then the log resists tampering and the attempt is prevented (and ideally itself recorded).; Given a user requests audit data, when access is evaluated, then it is granted only per their role-based permissions.; Given a user belongs to one tenant, when they query audit logs or record history, then they can only access audit data within their own tenant boundary and never another tenant's data.; Given tamper-resistance and RBAC controls are in place, when audit data is retained across active and archival storage, then these protections apply uniformly across both.",High,"FR 6.29.5 (Security — tamper-resistance, RBAC, tenant boundary)"
AUD-10,Audit and Logging,Portfolio Admin,View audit history within portfolio scope,"As a Portfolio Admin, I want to view the chronological change history of Company and Employee records within my portfolio, so that I can oversee changes across the group companies I am responsible for while staying within my tenant boundary.","Given I am a Portfolio Admin, when I open the record-level change-history utility for a Company or Employee within my portfolio, then I see its changes in chronological order with field, previous/new values, timestamp, and actor.; Given a record belongs to a portfolio or tenant outside my scope, when I attempt to view its audit history, then access is denied by tenant boundary and role-based access enforcement.; Given my role-based permissions, when audit data is presented, then I only see audit entries I am authorized to view.",Medium,"FR 6.29.4, FR 6.29.5 (Record-Level History + RBAC/tenant boundary — Portfolio Admin)"
