story_id,module,role,title,user_story,acceptance_criteria,priority,source
GRP-01,Groups,Platform Admin,Create global groups,"As a Platform Admin, I want to create global groups that are available across the entire platform, so that I can define standardized groupings that apply to all tenants for policy, eligibility, and security purposes.","Given I am authenticated as the HRMS/Platform Administrator, when I create a group and mark its scope as global, then the group is created with global scope and becomes available platform-wide across all tenants; Given I am creating a global group, when I omit a required name or reuse an existing global group name, then the system rejects the creation with a validation error; Given a global group exists, when a non-Platform-Administrator (Portfolio Admin, Group Company Admin, Company Admin) opens group settings, then they can view but cannot create, edit, or delete global groups; Given global groups exist, when any tenant views available groups, then the global groups are visible for use as policy, eligibility, and security criteria.",High,FR 6.6.1 (global groups created by HRMS Administrator)
GRP-02,Groups,Company Admin,Create company-specific groups,"As a Company Admin, I want to create groups scoped to my own company, so that I can group my company's employees and users independently of other tenants.","Given I am a Company/HR Admin, when I create a group, then the group is scoped to my company only and is not visible or usable by other companies; Given a company-specific group is created, when it is referenced elsewhere in the platform (policies, eligibility, security), then it is available only within its owning company's context; Given I attempt to create a group, when I do not have permission for the target company scope, then the system prevents creation; Given both global and company-specific groups exist, when I view my company's group list, then I see global groups (read-only) plus my company's own groups.",High,FR 6.6.1 (company-specific groups)
GRP-08,Groups,Group Company Admin,Create groups shared across companies in a group company,"As a Group Company Admin, I want to create groups that span the companies within my group company, so that I can define groupings shared across the member companies I administer.","Given I am a Group Company Admin, when I create a group at group-company scope, then the group is available to the companies belonging to my group company and is not visible to companies outside it; Given a group-company-scoped group exists, when a Company Admin of a member company configures policies or eligibility, then that group is selectable within the group company's context; Given I am a Group Company Admin, when I attempt to create a global group, then the system prevents it because global scope is reserved for the Platform Admin.",Medium,FR 6.6.1 (global vs company-specific groups; group-company scope)
GRP-03,Groups,Company Admin,Build hierarchical parent-child group structures,"As a Company Admin, I want to arrange groups into parent-child hierarchies, so that I can model organizational and policy groupings that reflect nested relationships.","Given I am managing groups, when I assign a parent to a group, then the group is nested under that parent as a child and the relationship is persisted; Given a group hierarchy exists, when I view a group, then its parent and child relationships are visible; Given I attempt to set a parent, when the chosen parent would create a cycle (e.g., selecting a descendant as parent), then the system rejects the assignment; Given a parent group is selected, when I add a child, then the child must be within a compatible scope (a company group cannot parent a global group).",Medium,FR 6.6.2 (hierarchical parent-child structures)
GRP-04,Groups,Company Admin,Support n-level group nesting,"As a Company Admin, I want group hierarchies to support unlimited (n-level) nesting, so that I can represent deep organizational structures without depth restrictions.","Given a group hierarchy exists, when I add child groups beyond a single level, then the system supports nesting at any number of levels; Given a deeply nested structure, when I create a new child at any depth, then the system does not reject it due to a nesting-level limit; Given a multi-level hierarchy, when I view or navigate the tree, then the full n-level parent-to-descendant path is displayed correctly.",Medium,FR 6.6.2 (n-level nesting)
GRP-09,Groups,Company Admin,Edit and delete groups and reparent hierarchies,"As a Company Admin, I want to rename, move, and delete groups, so that I can maintain the group structure as the organization changes.","Given a group exists, when I rename or change its parent, then the change is saved and reflected in the hierarchy and in any references; Given a group has child groups, when I attempt to delete it, then the system requires me to reassign or remove the children (or blocks deletion) so that no orphaned children remain; Given a group is used as policy applicability criteria, when I attempt to delete it, then the system warns about or prevents deletion to avoid breaking active policies; Given I edit or delete a group, when the group is not within my authorized scope, then the action is denied.",Medium,"FR 6.6.1, FR 6.6.2, FR 6.6.4 (group lifecycle within scope)"
GRP-05,Groups,Company Admin,Assign employees to multiple groups,"As a Company Admin, I want to assign an employee to more than one group, so that a single employee can be covered by multiple groupings simultaneously.","Given an employee record exists, when I add the employee to multiple groups, then the employee is recorded as a member of each of those groups; Given an employee belongs to several groups, when I view the employee's group memberships, then all groups they belong to are listed; Given an employee is already a member of a group, when I add them again to the same group, then the system prevents duplicate membership; Given an employee is a member of groups, when I remove them from one group, then their membership in the other groups is unaffected.",High,FR 6.6.3 (employees may belong to multiple groups)
GRP-10,Groups,Employee (Non-User),Include non-user employees in groups,"As a Company Admin, I want non-user employees (those without login accounts) to be assignable to groups, so that policy and eligibility groupings cover the entire workforce, not only employees who log in.","Given an employee has no user/login account (Employee Non-User), when I add them to a group, then their membership is recorded the same as for user employees; Given a non-user employee is a group member, when policies are evaluated for that group, then the non-user employee is included in the applicable population; Given a non-user employee, when they are a group member, then no login capability is granted by the membership itself.",Medium,FR 6.6.3 (employees may belong to multiple groups)
GRP-06,Groups,Company Admin,Associate users with groups,"As a Company Admin, I want to associate users with groups where required, so that group-based security and access can be applied to users, not only employees.","Given a user account exists, when I associate the user with a group, then the user is recorded as a member of that group; Given a user is associated with a group, when I review the group's membership, then the associated user appears; Given a user, when association with a group is not required for a scenario, then the system does not force a user-to-group association; Given a user is associated with a group used for security, when access is evaluated, then the group membership contributes to the user's security context.",Medium,FR 6.6.3 (users may be associated with groups where required)
GRP-11,Groups,Employee (User),View my own group memberships,"As an Employee (User), I want to view the groups I belong to, so that I can understand which groupings and policies apply to me.","Given I am an authenticated Employee (User) who is a member of one or more groups, when I open my profile or memberships view, then all groups I belong to are listed; Given I am not a group administrator, when I view my memberships, then I can see but cannot modify group membership or group definitions; Given group memberships change, when I next view my memberships, then the current, updated list is shown.",Low,FR 6.6.3 (employees may belong to multiple groups)
