story_id,module,role,title,user_story,acceptance_criteria,priority,source
POS-01,Positions,Company Admin,Define company positions,"As a Company Admin, I want to define multiple job positions for my company, so that our organizational roles are represented accurately in the system.","Given I am an authenticated Company Admin, when I create a new position with a name, then it is saved and becomes available for use within my company.; Given my company already has positions, when I add another one, then multiple positions can coexist with no system-imposed limit on count.; Given a position exists, when I view the position list, then all defined positions for the company are shown; Given I create a position, when I save it, then I must select the department it belongs to so it is a valid company-specific position within a department.",High,FR 6.8.1 (company defines multiple positions)
POS-02,Positions,Company Admin,Assign each position to exactly one department,"As a Company Admin, I want each position to belong to exactly one department, so that positions are correctly organized within the company structure.","Given I am creating or editing a position, when I save it, then it must be associated with exactly one department; Given a position is being created, when no department is selected, then the system prevents the position from being saved and shows a validation error; Given a position is assigned to a department, when I attempt to assign it to a second department, then the system does not allow more than one department per position; Given I select a department for a position, when I save, then only departments belonging to my own company are selectable.",High,FR 6.8.1 (each position belongs to exactly one department)
POS-03,Positions,Company Admin,Assign a position to an employee,"As a Company Admin, I want to assign one position to each employee, so that every employee's role in the organization is clearly identified.","Given an employee record, when I assign a position, then exactly one position is recorded for that employee; Given an employee already has a position, when I assign a new position, then the previous assignment is replaced so the employee still holds only one position at a time; Given a position is assigned, when I view the employee's profile, then the assigned position is displayed; Given I assign a position to an employee, when I select from the list, then only positions defined for my own company are available.",High,FR 6.8.2 (each employee assigned one position)
POS-04,Positions,Company Admin,Use positions in recruitment and onboarding,"As a Company Admin, I want positions to be usable in recruitment and onboarding, so that hiring and new-hire setup reference standardized organizational roles.","Given defined positions exist, when a recruitment requisition or job is created, then a company position can be selected for it; Given a candidate is being onboarded, when the onboarding process runs, then the target position can be referenced and later assigned to the new hire; Given a candidate is hired into a requisition tied to a position, when onboarding completes, then that position becomes the employee's assigned position.",Medium,FR 6.8.3 (positions support recruitment and onboarding)
POS-05,Positions,Company Admin,Use positions in reporting and organizational setup,"As a Company Admin, I want positions to be available for reporting and organizational setup, so that I can analyze and structure the workforce by role.","Given positions are assigned to employees, when I generate organizational reports, then data can be grouped or filtered by position; Given the organizational structure is being configured, when I set it up, then positions can be used as part of that structure; Given positions belong to departments, when I report on the org, then I can roll up positions by their parent department.",Medium,FR 6.8.3 (positions support reporting and organizational setup)
POS-06,Positions,Company Admin,Scope positions to a single company,"As a Company Admin, I want positions to be company-specific, so that each company's roles remain isolated within its own tenant context.","Given positions are defined for a company, when another company is viewed, then it does not see or use the first company's positions; Given a position is created, when it is saved, then it is scoped to the company that created it; Given cross-company access is attempted, when a user from another company queries positions, then the first company's positions are never returned.",Medium,FR 6.8 Purpose (company-specific job positions within departments)
POS-07,Positions,Company Admin,Edit an existing position,"As a Company Admin, I want to edit an existing position's details, so that role definitions stay accurate as the organization evolves.","Given a position exists, when I edit its name or department, then the changes are saved and reflected everywhere the position is referenced; Given I change a position's department, when I save, then the new department must be exactly one and belong to my company; Given employees are assigned to the position, when I edit it, then their assignment continues to reference the updated position.",Medium,FR 6.8.1 (company defines and manages positions)
POS-08,Positions,Company Admin,Remove or deactivate a position,"As a Company Admin, I want to remove or deactivate a position that is no longer needed, so that the position list reflects only valid current roles.","Given a position has no employees assigned, when I delete it, then it is removed from the company's position list; Given a position has employees assigned, when I attempt to delete it, then the system prevents deletion or requires reassignment first so no employee is left without a valid position; Given a position is deactivated, when creating new assignments, then the deactivated position is not selectable while historical assignments remain intact.",Medium,FR 6.8.1 / FR 6.8.2 (position lifecycle and one-position-per-employee integrity)
POS-09,Positions,Group Company Admin,Oversee positions across companies in a group,"As a Group Company Admin, I want to view and manage positions across the companies within my group, so that I can maintain consistent role definitions across the group.","Given multiple companies belong to my group, when I view positions, then I can see positions per company within my group scope; Given I manage a specific company in my group, when I create or edit a position, then it remains scoped to that company and its department; Given companies outside my group exist, when I view positions, then positions of companies outside my group are not shown.",Medium,FR 6.8 Purpose + FR 6.8.1 (company-specific positions within group hierarchy)
POS-10,Positions,Employee (User),View my assigned position,"As an Employee (User), I want to view my assigned position, so that I understand my defined role within the organization.","Given I have an assigned position, when I open my profile, then my single current position and its department are displayed; Given I have no position assigned, when I open my profile, then the position field is shown as empty or unassigned; Given I am an Employee User, when I view positions, then I can see only my own assignment and cannot create or modify positions.",Low,FR 6.8.2 (each employee assigned one position)
