story_id,module,role,title,user_story,acceptance_criteria,priority,source
SYS-01,"System, Roles & Cross-Cutting Requirements","Platform Admin",Platform-level company provisioning and administration,"As a Platform Admin, I want to provision companies, manage supported jurisdictions, define global groups, and maintain platform-wide configurations, so that new tenants can be onboarded and operated on a shared SaaS platform.","Given I hold platform-level administration rights, when I create a company, then it is provisioned as a new tenant with the selected supported jurisdictions.; Given an existing tenant, when I suspend or reactivate it, then its operational status changes accordingly.; Given a jurisdictions catalog, when I add or update supported jurisdictions, then they become available for company setup.; Given platform-wide configurations, when I define global groups and configurations, then they apply across the platform where applicable.; Given tenant onboarding activity, when I monitor onboarding and support, then I can track tenant status and view platform health and logs.",High,"FR 4.1 (Platform-Level Administration); FR 5.2 (Platform Super Administrator)"
SYS-02,"System, Roles & Cross-Cutting Requirements","Platform Admin",Enable authentication methods and identity integrations,"As a Platform Admin, I want to enable authentication methods and configure identity integrations (SSO providers), so that tenants can authenticate securely using supported methods.","Given platform administration access, when I configure SSO providers, then those authentication methods become available to tenants.; Given identity integrations for SAML, AD, Office 365, and Google Apps, when I enable an integration, then it can be used for tenant authentication.; Given Phase 1 scope, when I review available integrations, then only authentication providers are supported (no other external integrations).",High,"FR 4.1 (authentication methods and identity integrations); FR 8.10.1 (SAML, AD, Office 365, Google Apps)"
SYS-03,"System, Roles & Cross-Cutting Requirements","Portfolio Admin",Portfolio administration across multiple companies,"As a Portfolio Admin, I want to administer multiple companies within my assigned portfolio and reuse common setup patterns, policies, and administrative processes, so that shared services teams can operate several companies efficiently and consistently.","Given I am an authorized portfolio manager, when I access my portfolio, then I can administer the companies assigned to me subject to security controls.; Given common setup patterns and policies, when I apply them across managed companies, then standardization is enforced across the portfolio companies.; Given company-level admin tasks, when I perform them within the portfolio, then I can act only as permitted per company.; Given cross-company administration, when I run oversight and reporting, then access is restricted by my authorization scope.",High,"FR 4.2 (Portfolio-Level Administration); FR 5.3 (Portfolio Manager); FR 7.3"
SYS-04,"System, Roles & Cross-Cutting Requirements","Portfolio Admin",Switch company context without re-authentication,"As a Portfolio Admin, I want to switch operational context between authorized companies through a single login without repeated authentication, so that I can work across companies without friction.","Given I am authenticated once, when I switch to another authorized company, then I am not prompted to re-authenticate.; Given I switch context, when I operate in the new company, then only that company's data and my permitted actions there are available.; Given I attempt to switch to a company outside my authorization, when the switch is requested, then access is denied.",High,"FR 4.2; FR 5.3; FR 7.3"
SYS-05,"System, Roles & Cross-Cutting Requirements","Group Company Admin",Group-company relationship governance,"As a Group Company Admin, I want to define and maintain group-company relationships and oversee related companies within an approved group structure, so that affiliated entities can have consolidated visibility and governance subject to authorization.","Given affiliated entities, when I define a group-company relationship, then related companies are linked under the approved group structure.; Given a group structure, when I enable consolidated visibility, then governance across affiliated companies is available subject to authorization.; Given shared administrative constructs and shared locations (if enabled), when I configure them, then they apply across the approved group with cross-company sharing approval.; Given cross-company sharing, when it is requested, then it proceeds only after approval.",High,"FR 4.3 (Group-Company Administration); FR 5.4 (Group Company Administrator)"
SYS-06,"System, Roles & Cross-Cutting Requirements","Company Admin",Company-level setup and administration,"As a Company Admin, I want to maintain company details and define departments, positions, groups, and locations, so that the tenant's organizational structure is established for HR operations.","Given company administration access, when I maintain company details, then updated details are saved for the tenant.; Given the tenant structure, when I define departments, positions, groups, and locations, then they are available for employee and policy assignment.; Given a Company Super Administrator, when I configure the tenant, then I have ultimate authority within the tenant for setup, organizational structures, and configuration.",High,"FR 4.4 (Company-Level Administration); FR 5.5 (Company Super Administrator)"
SYS-07,"System, Roles & Cross-Cutting Requirements","Company Admin","Company-level roles, permissions, and operations","As a Company Admin, I want to manage employees, apply policies and workflows, assign roles and permissions, and run reports and bulk data operations, so that the company can be fully operated within its tenant.","Given company administration access, when I assign roles and permissions to users, then those users gain the corresponding capabilities.; Given policies and workflows, when I apply them, then they take effect for the company's employees.; Given a Company HR Administrator, when I manage employees, policies, lifecycle workflows, and leave/attendance, then I can do so without tenant-wide technical control.; Given reporting and bulk data tools, when I run reports or bulk operations, then results are produced within the company's tenant scope.",High,"FR 4.4 (Company-Level Administration); FR 5.5 (Company HR Administrator)"
SYS-08,"System, Roles & Cross-Cutting Requirements","Platform Admin",Tenant data isolation,"As a Platform Admin, I want each company's business data to be logically isolated from other tenants, so that data is protected except where cross-company access is explicitly enabled.","Given two independent companies, when a user of one accesses data, then data of the other company is not visible.; Given explicitly enabled multi-company user access, portfolio administration, or group-company relationships, when cross-company access is authorized, then only the permitted shared data is accessible.; Given any data access, when it occurs, then tenant boundaries and authorized cross-company access rules are always respected.",High,"FR 4.5 (Tenant Isolation); FR 7.15"
SYS-09,"System, Roles & Cross-Cutting Requirements","Platform Admin",Enforce single portfolio / single group membership,"As a Platform Admin, I want a company to belong to at most one portfolio and at most one group-company structure at a time, so that administrative and governance relationships remain unambiguous.","Given a company already assigned to a portfolio, when I attempt to assign it to a second portfolio, then the action is rejected.; Given a company already in a group-company structure, when I attempt to add it to a second group structure, then the action is rejected.; Given a company, when it is set up, then it may operate standalone, within a group structure, or under a portfolio construct (exactly one of these arrangements at a time).",High,"FR 4.5"
SYS-10,"System, Roles & Cross-Cutting Requirements","Company Admin",Roles separate from composable permission sets,"As a Company Admin, I want roles to represent personas while permissions represent composable capabilities, so that the same permission set can be reused across multiple roles.","Given a permission set, when I assign it, then it can be attached to multiple roles.; Given a role, when I define it, then it is composed of one or more permission sets rather than hard-coded capabilities.; Given a persona, when I model it as a role, then changing a permission set updates every role that includes it.",Medium,"FR 5.1.1 (Separate Roles from Permission Sets)"
