story_id,module,role,title,user_story,acceptance_criteria,priority,source
HLC-01,HR Letters and Certificates,Company Admin,Configure document templates,"As a Company Admin, I want to configure templates for the standard HR document types, so that my organization can generate consistent, branded letters and certificates.","Given I am configuring templates, when I create a new template, then I can select a document type from the full set: Appointment Letter, Confirmation Letter, Transfer Letter, Promotion Letter, Relieving Letter, Experience Certificate, Address Proof, and Employment Verification.; Given I am creating or editing a template, when I define its content, then I can configure layout, branding, and body text so generated documents are consistent and branded.; Given a template exists, when I edit its content, then my changes are saved and become available for future document generation without affecting already-generated documents.; Given a template is configured, when it is used for generation, then the generated document reflects the configured layout and content.; Given multiple document types exist, when I manage templates, then each of the eight document types can have its own configurable template.",High,FR 6.28.1 (Templates)
HLC-02,HR Letters and Certificates,Company Admin,Insert dynamic merge fields into templates,"As a Company Admin, I want to embed merge fields in templates, so that document content is automatically populated from source data without manual re-entry.","Given I am editing a template, when I add merge fields, then I can pull dynamic data from employee records, position details, company information, and custom fields.; Given a template uses custom fields, when a document is generated, then the custom field values are inserted correctly.; Given a merge field references employee, position, or company data, when the document is generated for a specific employee, then that employee's actual values replace the corresponding merge fields.; Given a merge field has no value in the source record, when the document is generated, then the missing value is handled gracefully (blank or flagged) rather than showing the raw field token.",High,FR 6.28.2 (Merge Fields)
HLC-03,HR Letters and Certificates,Company Admin,Manually generate a document,"As a Company Admin, I want to manually generate an HR document for an employee, so that I can produce letters and certificates on demand.","Given a template and an employee are selected, when I trigger manual generation, then a PDF document is produced with all merge fields populated from the source data.; Given generation completes, when I open the output, then it is available in PDF format.; Given the generated document, when it is created, then it is stored and enters the versioning and retention lifecycle.",High,FR 6.28.3 (Generation)
HLC-04,HR Letters and Certificates,Company Admin,Auto-generate documents on workflow events,"As a Company Admin, I want documents to be generated automatically when workflow events occur, so that routine letters are produced without manual effort.","Given automated generation is configured for a document type, when a triggering workflow event occurs (e.g., hire, confirmation, transfer, promotion, relieving), then the corresponding document is generated automatically.; Given an event triggers generation, when the document is produced, then it is output as a PDF using the correct template and merged data.; Given a document is auto-generated, when it is created, then it enters any configured approval workflow before finalization.",Medium,FR 6.28.3 (Generation)
HLC-05,HR Letters and Certificates,Company Admin,Batch generate documents,"As a Company Admin, I want to generate documents in batch, so that I can produce the same document type for many employees at once.","Given multiple employees are selected, when I run batch generation, then a separate PDF is produced for each employee.; Given batch generation completes, when I review the results, then each document contains the correct employee-specific merged data.; Given a batch run, when one or more documents fail to generate, then the failures are reported without blocking the successful documents.",Medium,FR 6.28.3 (Generation)
HLC-06,HR Letters and Certificates,Company Admin,Route documents through approval workflows,"As a Company Admin, I want configurable approval workflows for generated documents, so that letters and certificates are reviewed before release.","Given an approval workflow is configured, when a document is generated, then it follows the defined approval steps before being finalized.; Given a document awaits approval, when an approver reviews it, then they can approve or reject it according to the workflow.; Given a document is rejected, when the workflow processes it, then it is not distributed and the originator is notified to correct and regenerate.; Given no approval workflow is required for a document type, when it is generated, then it can be finalized directly.",Medium,FR 6.28.4 (Workflow)
HLC-07,HR Letters and Certificates,Company Admin,Track signing authority,"As a Company Admin, I want signing authority tracked on documents, so that each document records who is authorized to sign it.","Given a document requires signing, when it is processed, then the designated signing authority is recorded on the document.; Given signing authority is configured per document type, when a document is finalized, then the correct authority is reflected on the output.; Given a document is finalized, when it is audited, then the signing authority is traceable as part of the document record.",Medium,FR 6.28.4 (Workflow)
HLC-08,HR Letters and Certificates,Company Admin,Distribute documents to employees,"As a Company Admin, I want to distribute finalized documents via email, in-app access, and print, so that employees receive their documents through the appropriate channel.","Given a finalized document, when I choose email delivery, then it is sent to the employee's email address.; Given a finalized document, when in-app access is enabled, then the employee (user) can view it within the application.; Given a finalized document, when I choose print, then a print-ready output is available.; Given an Employee (Non-User) without app access, when I distribute their document, then email and print channels are available so they still receive it.",High,FR 6.28.5 (Distribution)
HLC-09,HR Letters and Certificates,Company Admin,Track document delivery,"As a Company Admin, I want delivery tracking for distributed documents, so that I can confirm whether documents reached their recipients.","Given a document has been distributed, when I check its status, then I can see delivery tracking information per channel.; Given delivery fails or succeeds, when the status updates, then the tracking record reflects the outcome.; Given a delivery failure, when I review tracking, then I can identify it and re-send the document through another channel.",Medium,FR 6.28.5 (Distribution)
HLC-10,HR Letters and Certificates,Company Admin,Maintain version history and reissue documents,"As a Company Admin, I want complete version history and reissue capabilities for documents, so that I can track changes and provide corrected or duplicate copies.","Given a document has been modified or regenerated, when I view its history, then I can see the complete version history with all prior versions retained.; Given an existing document, when I reissue it, then a new version is produced while prior versions remain retained and accessible.; Given multiple versions exist, when I view a document, then the current/active version is clearly identified.",Medium,FR 6.28.6 (Versioning)
HLC-11,HR Letters and Certificates,Company Admin,Retain documents for seven years,"As a Company Admin, I want generated documents retained for 7 years, so that the organization meets record-keeping and compliance obligations.","Given a document is generated, when it is stored, then it is retained for a 7-year period.; Given a document is within the retention period, when I search for it, then it remains accessible.; Given a document reaches the end of the 7-year retention period, when retention rules apply, then it is handled per the configured retention policy.",Medium,FR 6.28.6 (Versioning)
HLC-12,HR Letters and Certificates,Employee (User),View and download my HR documents in-app,"As an Employee (User), I want to view and download my finalized HR letters and certificates within the application, so that I can access my documents anytime without contacting HR.","Given finalized documents addressed to me with in-app access enabled, when I open my documents area, then I can view the list of my HR letters and certificates.; Given a document is available to me, when I open it, then I can view and download the PDF.; Given a document has multiple versions, when I access it, then I see the current version and any reissued copies made available to me.; Given a document has not been finalized or approved, when I look for it, then it is not visible to me.",High,FR 6.28.5 (Distribution)
HLC-13,HR Letters and Certificates,Employee (Non-User),Receive HR documents via email or print,"As an Employee (Non-User) without application access, I want to receive my HR letters and certificates by email or printed copy, so that I still obtain my documents despite not having an in-app account.","Given I have no application login, when HR distributes my finalized document, then it is delivered to me by email or as a printed copy rather than requiring in-app access.; Given my document is emailed, when it is sent, then delivery is tracked so HR can confirm receipt.; Given my email delivery fails, when HR reviews tracking, then a print option remains available to deliver my document.",Medium,FR 6.28.5 (Distribution)
HLC-14,HR Letters and Certificates,Company Admin,Review and act on documents pending approval,"As a Company Admin acting as an approver, I want to review documents pending approval and approve or reject them, so that only correct, authorized documents are finalized and distributed.","Given documents are pending in an approval workflow, when I open my approval queue, then I can see all documents awaiting my review with their content.; Given a document under review, when I approve it, then it advances to the next step or is finalized per the workflow.; Given a document under review, when I reject it, then it is returned to the originator with a reason and is not distributed.; Given a document I have acted on, when the workflow proceeds, then my approval/rejection is recorded in the document's audit history.",Medium,FR 6.28.4 (Workflow)
HLC-15,HR Letters and Certificates,Group Company Admin,Standardize letter templates and policies across the group,"As a Group Company Admin, I want to define or oversee document templates, approval workflows, and retention policies across the companies in my group, so that HR letters and certificates are consistent and compliant across all group companies.","Given multiple companies exist under my group, when I configure templates and policies, then I can standardize document types, merge fields, approval workflows, signing authority, and the 7-year retention rule across those companies.; Given a company-level admin makes local changes, when I review configurations, then I can see and govern template and workflow consistency across the group.; Given group-wide policies are set, when a company generates documents, then generation, distribution, and versioning conform to the group standards.",Low,"FR 6.28.1, 6.28.4, 6.28.6"
HLC-16,HR Letters and Certificates,Platform Admin,Persist documents in a tenant-scoped canonical data model,"As a Platform Admin, I want generated documents and their metadata stored in a tenant-scoped canonical data model with row-level security, so that each company's letters and certificates are isolated and integrity-protected.","Given documents are generated by different tenants, when they are persisted, then each document record is stored under its owning company/group scope and row-level security prevents any tenant from reading another tenant's documents.; Given a document record, when it is stored, then it captures the canonical entity relationships linking the document to its template, employee, position, company, and signing authority.; Given a document is retrieved, when access is evaluated, then only users within the document's tenant scope and with the appropriate role can access it.; Given uniqueness and integrity constraints, when a document record is written, then references to employee, template, and company must resolve to valid records within the same tenant.",High,"FR 6.28.3, FR 6.28.6 (L1 domain/data)"
HLC-17,HR Letters and Certificates,Platform Admin,Store immutable effective-dated version history for every document,"As a Platform Admin, I want every document version stored immutably with full effective-dated temporal history, so that reissues and prior copies remain tamper-evident and auditable for the full retention period.","Given a document is generated or reissued, when a version is written, then prior versions are never overwritten and each version records its effective date and the event that produced it.; Given the temporal history, when it is queried, then I can reconstruct the exact content and metadata that was valid at any point in time.; Given a version and its approval/signing/distribution events, when they occur, then they are appended to an immutable audit trail bound to the document record.; Given the 7-year retention rule, when a version ages, then it remains retrievable from history until the retention policy purges it.",Medium,FR 6.28.6 (L1 data)
HLC-18,HR Letters and Certificates,Company Admin,Version and effective-date template configuration,"As a Company Admin, I want templates, merge-field mappings, and their approval and signing config to be versioned and effective-dated, so that generation always uses the correct template version and past documents remain reproducible.","Given a template is edited, when I save it, then a new template version is created with an effective date while prior versions remain retained.; Given a document is generated, when the engine selects a template, then it uses the template version effective on the generation date.; Given a template change, when it takes effect, then already-generated documents continue to reference the template version under which they were produced.; Given governed config, when I change templates or merge-field mappings, then the change is applied without code deployment and is captured in configuration history.",High,FR 6.28.1 (L2 config)
HLC-19,HR Letters and Certificates,Company Admin,Resolve merge fields via the forms/template render engine,"As a Company Admin, I want the shared render engine to resolve merge fields and produce the PDF, so that generation reads template config and source data consistently regardless of document type.","Given a template with merge fields, when generation runs, then the render engine reads the template config, binds each merge field to employee, position, company, and custom-field data, and produces the merged PDF output.; Given a merge field cannot be resolved, when the engine renders, then it applies the configured missing-value behavior (blank or flagged) rather than emitting the raw token.; Given the same template, when it renders for different employees or in batch, then the engine produces employee-specific output deterministically from the source data.; Given custom fields defined per tenant, when the engine renders, then it resolves them from that tenant's field schema.",High,"FR 6.28.2, FR 6.28.3 (L3 engine)"
HLC-20,HR Letters and Certificates,Company Admin,"Drive template, approval, and signing selection from decision tables","As a Company Admin, I want the rules engine to select the template, approval path, and signing authority from configurable decision tables, so that the correct process is applied per document type and context without hard-coded logic.","Given decision tables are configured per document type, when a document is generated, then the rules engine evaluates them to determine which template version, approval workflow, and signing authority apply.; Given the triggering context (event type, employee attributes, company), when the engine evaluates, then it selects the matching rule row and applies its outcome.; Given no matching rule exists, when the engine evaluates, then it applies a defined default or flags the document for manual handling rather than failing silently.; Given a decision table is updated, when the next document is generated, then the engine uses the updated rules without code change.",Medium,FR 6.28.4 (L3 engine)
HLC-21,HR Letters and Certificates,Company Admin,Dispatch distribution and tracking via the notification engine,"As a Company Admin, I want the notification/template engine to dispatch finalized documents and record delivery outcomes, so that email, in-app, and print distribution and their tracking are handled by shared runtime.","Given a finalized document and a chosen channel, when distribution runs, then the notification engine renders the delivery message from the configured template and dispatches it via the selected channel.; Given a dispatch attempt, when it completes, then the engine records a per-channel delivery outcome (sent, delivered, failed) against the document.; Given a delivery failure, when the engine reports it, then it enables re-send through an alternate channel and updates the tracking record.; Given approval is required, when a document is not yet finalized, then the engine does not dispatch it.",Medium,FR 6.28.5 (L3 engine)
HLC-22,HR Letters and Certificates,Company Admin,Manage generated documents in a search and filter grid,"As a Company Admin, I want a metadata-driven grid to search, filter, and navigate all generated documents, so that I can locate, review, and act on letters and certificates across the organization.","Given many documents exist, when I open the documents grid, then I can search and filter by document type, employee, status, generation date, and delivery outcome.; Given a document row, when I select it, then I can view its versions, approval status, signing authority, and distribution/tracking details.; Given my role and tenant scope, when I browse the grid, then I only see documents within companies I administer.; Given a filtered result set, when I act on a document, then I can trigger reissue, redistribute, or open the approval action from the grid.",Medium,"FR 6.28.3, FR 6.28.6 (L4 presentation)"
HLC-23,HR Letters and Certificates,Company Admin,Organize document templates into domain-scoped catalogs,"As a Company Admin, I want document, email, and notification templates organized into domain-scoped catalogs (recruitment/onboarding, asset, finance, performance, resource/project, survey, feedback, timesheet, training, travel), so that I can manage templates for each functional area without scrolling one flat list.",Given many templates exist across functional areas; when I open template configuration; then templates are grouped into per-domain catalogs I can navigate independently.; Given a domain catalog; when I open it; then I see only the templates that belong to that domain.; Given a new event type in a domain; when I add a template for it; then it is filed under that domain's catalog.,Medium,Kensium: Templates > Email/Notification Templates (domain catalogs)
HLC-24,HR Letters and Certificates,Company Admin,Identify each template by a Template Type ID in a list grid,"As a Company Admin, I want each template listed in a grid with its Template Type ID, type, and description, so that I can uniquely identify and reference templates when configuring events and integrations.","Given a template catalog; when the list loads; then each row shows Template Type ID, template type, description, and a Task action.; Given a Template Type ID; when I reference it elsewhere in configuration; then it resolves to exactly one template.; Given many templates; when I scan the grid; then the ID/type/description columns let me locate the right template.",Medium,Kensium: Templates > Notification Templates (Template Type ID column)
HLC-25,HR Letters and Certificates,Company Admin,Maintain separate Email and Notification template catalogs per channel,"As a Company Admin, I want separate Email-template and in-app Notification-template catalogs for the same event, switchable via channel tabs, so that I can tailor wording per delivery channel while covering the same trigger.",Given a domain with both email and in-app channels; when I view its templates; then I can switch between an Email Templates tab and a Notification Templates tab.; Given the same triggering event; when I edit each channel's template; then email body and in-app notification text are configured independently.; Given a channel has no template for an event; when that event fires; then only channels with a configured template are dispatched.,Medium,Kensium: Templates (Email Templates / Notification Templates tabs)
HLC-26,HR Letters and Certificates,Company Admin,Preview a template read-only before use,"As a Company Admin, I want to open any template read-only via a View action, so that I can review its content and merge fields without risking accidental edits.",Given a template row in a catalog; when I click View; then the template content is displayed in a read-only view.; Given I am previewing a template; when I finish; then I can cancel out without saving any change.; Given a read-only preview; when I view it; then merge-field tokens and layout are shown as configured.,Low,"Kensium: Templates (View / Task action, Cancel)"
HLC-27,HR Letters and Certificates,Company Admin,"Page, refresh, and count templates in large catalogs","As a Company Admin, I want to page through, refresh, and see item counts for a template catalog, so that I can navigate catalogs with many templates and always see current data.",Given a catalog with more templates than one page; when I click Next; then the following page loads and the displayed item count (e.g. items 1-10 of 14) updates.; Given a catalog list; when I click Refresh; then the list reloads with the latest saved templates.; Given I have paged through a catalog; when I click Cancel; then I exit without changes.,Low,"Kensium: Templates (Refresh, paging, Displaying items X of Y)"
HLC-28,HR Letters and Certificates,Company Admin,Configure agreement letter templates that require acknowledgment,"As a Company Admin, I want to configure agreement letter templates (e.g. Certification Agreement Letter, Training Agreement Letter) that require the employee to acknowledge or sign, so that binding agreements are issued and consented to, distinct from informational letters.",Given the agreement letter catalog; when I create a template; then I can select an agreement letter type such as Certification Agreement or Training Agreement.; Given an agreement letter template; when a document is generated from it; then it is flagged as requiring employee acknowledgment/signature before it is considered complete.; Given an issued agreement letter; when acknowledgment is pending; then it is tracked as outstanding until the employee responds.,Medium,Kensium: Agreement > Letter Templates
HLC-29,HR Letters and Certificates,Employee (User),Acknowledge or sign an issued agreement letter,"As an Employee (User), I want to review and acknowledge or sign agreement letters issued to me, so that my consent to certification, training, or other agreements is recorded.",Given an agreement letter is issued to me; when I open it in-app; then I can read its full content before responding.; Given I have read an agreement letter; when I acknowledge or sign it; then my acknowledgment is timestamped and recorded against the document.; Given I have not yet acknowledged; when HR checks status; then the letter shows as pending my acknowledgment.,Medium,Kensium: Agreement > Letter Templates (acknowledgment)
