story_id,module,role,title,user_story,acceptance_criteria,priority,source
DOC-01,Documents and Attachments,Company Admin,Attach documents to a Company,"As a Company Admin, I want to upload and store documents against a Company entity, so that company-level files are centrally organized and retrievable.","Given I am viewing a Company record, when I upload a file, then the document is stored and associated with that Company.; Given a document is attached to a Company, when I open the Company's documents area, then the file is listed and downloadable.",High,FR 6.22.1 (Supported Entities — Company)
DOC-02,Documents and Attachments,Company Admin,Attach documents to an Employee,"As a Company Admin, I want to upload and store documents against an Employee record, so that employee-specific files are kept with the correct person.","Given I am viewing an Employee record, when I upload a file, then the document is stored and associated with that Employee.; Given documents exist for an Employee, when I view their profile, then all attached documents are listed.",High,FR 6.22.1 (Supported Entities — Employee)
DOC-03,Documents and Attachments,Company Admin,Attach documents to a Candidate,"As a Company Admin, I want to upload and store documents against a Candidate within Talent Acquisition, so that candidate files stay tied to the applicant record.","Given I am viewing a Candidate within Talent Acquisition, when I upload a file, then the document is stored and associated with that Candidate.; Given documents exist for a Candidate, when I open their record, then the attached files are listed and accessible.",Medium,FR 6.22.1 (Supported Entities — Candidate within Talent Acquisition)
DOC-04,Documents and Attachments,Company Admin,Restrict uploads to supported file formats,"As a Company Admin, I want the system to accept only PDF, JPG/JPEG, DOC/DOCX, XLS/XLSX, PNG, and TXT files, so that only usable document types are stored.","Given I select a file in a supported format, when I upload it, then the upload succeeds.; Given I select a file in an unsupported format, when I attempt to upload it, then the upload is rejected with a clear error indicating allowed formats.",High,FR 6.22.2 (File Support — supported formats)
DOC-05,Documents and Attachments,Company Admin,Enforce maximum file size,"As a Company Admin, I want the system to enforce a 2 MB maximum file size, so that storage stays controlled and uploads remain performant.","Given a file is 2 MB or smaller, when I upload it, then the upload is accepted.; Given a file exceeds 2 MB, when I attempt to upload it, then the upload is rejected with a message stating the 2 MB limit.",High,FR 6.22.2 (File Support — 2 MB maximum file size)
DOC-06,Documents and Attachments,Company Admin,Capture document metadata,"As a Company Admin, I want each document to record metadata such as name, upload date, uploaded by, and expiry date, so that files can be identified and audited.","Given I upload a document, when it is saved, then the name, upload date, and uploaded-by user are recorded automatically.; Given a document has an expiry date, when I view the document, then the expiry date is displayed alongside its other metadata.",High,FR 6.22.3 (Document Features — metadata)
DOC-07,Documents and Attachments,Company Admin,Track document expiration,"As a Company Admin, I want to track document expiration, so that I can identify documents that have expired or are approaching expiry.","Given a document has an expiry date, when that date passes, then the document is flagged as expired.; Given I review stored documents, when I filter or view by expiry, then expired and upcoming-expiry documents are identifiable.",Medium,FR 6.22.3 (Document Features — expiration tracking)
DOC-08,Documents and Attachments,Company Admin,Categorize documents,"As a Company Admin, I want to categorize documents, so that files can be organized and located by type.","Given I upload or edit a document, when I assign a category, then the category is saved with the document.; Given documents are categorized, when I browse documents, then I can view or filter them by category.",Medium,FR 6.22.3 (Document Features — categorization)
DOC-09,Documents and Attachments,Company Admin,Enforce role-based access to documents,"As a Company Admin, I want document access to be governed by role-based access controls, so that users only see documents they are authorized to view.","Given a user has a role permitting access to a document, when they open the entity, then the document is visible and accessible to them.; Given a user's role does not permit access, when they view the entity, then the restricted document is not shown or downloadable.",High,FR 6.22.3 (Document Features — role-based access); FR 6.22.4 (Security — access controls)
DOC-10,Documents and Attachments,Platform Admin,Secure documents with encryption and tenant isolation,"As a Platform Admin, I want documents encrypted at rest and isolated per tenant, so that stored files are protected and never exposed across tenants.","Given a document is stored, when it resides at rest, then it is encrypted.; Given documents belong to a specific tenant, when any user accesses documents, then only that tenant's documents are retrievable, with no cross-tenant leakage.",High,"FR 6.22.4 (Security — encryption at rest, tenant isolation)"
